"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus"
"pavlovia","0","487","0.0-0.0","0sr9","","","","","","","",""
"preload","1","487","0.0-1.0","0sr9","true","false","[]","[]","[]","","",""
"survey-html-form","2","2561","0.0-2.0","0sr9","","","","","","2073","{""code"":""6663615b175959c44bdd6209""}",""
"html-button-response","3","25870","0.0-3.0","0sr9","","","","","","23309","0","<h2>Willkommen zum Experiment!</h2><div class=""myDiv""><p>Vielen Dank f&uuml;r Ihr Interesse an dieser Studie. Wir bitten Sie <strong>Kopfh&ouml;rer</strong> daf&uuml;r zu verwenden.</p></div><div><img src=""pics/headphones.png"" title=""Earbuds are also fine"" width=""250"" height=""200"" class=""center""></div><div class=""myDiv""><p>Das Experiment besteht aus zwei Teilen:</p> <ol> <li>Eine <strong>Unterscheidungsaufgabe,</strong> in der Sie zwei W&ouml;rter h&ouml;ren. Im Anschluss sollen Sie feststellen, ob diese W&ouml;rter gleich oder unterschiedlich sind;</li><li>Eine <strong>Identifikationsaufgabe,</strong> in der Sie nur ein Wort h&ouml;ren, wobei Ihnen aber zwei Bilder gezeigt werden. Ihre Aufgabe ist es, dasjenige Bild auszuw&auml;hlen, das das geh&ouml;rte Wort darstellt.</li> </ol><p>Wir bitten Sie um Ihre Zustimmung, bevor wir Ihre Daten sammeln und verwenden. Bitte klicken Sie auf den ""Start""-Button, um Ihre Zustimmung zu geben. Anschlie&szlig;end werden wir ein paar Fragen zu Ihren Sprachkenntnissen stellen. Danach k&ouml;nnen Sie das Experiment starten. </p></div>"
"survey-html-form","4","29853","0.0-4.0","0sr9","","","","","","3982","{""zustimmung"":""on""}",""
"survey-html-form","5","67562","0.0-5.0","0sr9","","","","","","37708","{""native"":""German"",""AOL"":""13"",""LearnType1"":""classeshome"",""LearnType2"":""selflearn"",""which"":""Self-learning"",""AOA"":"""",""timespent"":""""}",""
"audio-button-response","6","70247","0.0-6.0-0.0","0sr9","","","","","","2589","0","audio_projekt/treffen1.wav"
"audio-button-response","7","71339","0.0-6.1-0.1","0sr9","","","","","","1091","0","audio_projekt/treffen1.wav"
"audio-button-response","8","72262","0.0-6.2-0.2","0sr9","","","","","","922","0","audio_projekt/treffen1.wav"
"audio-button-response","9","73102","0.0-6.3-0.3","0sr9","","","","","","840","0","audio_projekt/treffen1.wav"
"audio-button-response","10","73580","0.0-6.4-0.4","0sr9","","","","","","477","0","audio_projekt/treffen1.wav"
"audio-button-response","11","75222","0.0-6.5-0.5","0sr9","","","","","","1641","0","audio_projekt/treffen1.wav"
"audio-button-response","12","78111","0.0-6.6-0.6","0sr9","","","","","","2888","1","audio_projekt/treffen1.wav"
"html-keyboard-response","13","94526","0.0-7.0","0sr9","","","","","","16414","d","<h2>Teil 1: Unterscheidungsaufgabe</h2><div class=""myDiv""><p>In diesem Teil des Experimentes werden Sie im Abstand von 1.5 Sekunden <b>zwei W&ouml;rter</b> h&ouml;ren.</p><ul><li>Ihre Aufgabe ist es, festzustellen, ob diese W&ouml;rter <b>gleich oder unterschiedlich</b> sind. Wenn es einen Unterschied gibt, besteht dieser nur aus einem Vokal. </li> <li>Dr&uuml;cken Sie die <b>Taste Q</b>, wenn die W&ouml;rter gleich sind. Dr&uuml;cken Sie die <b>Taste P</b>, wenn die W&ouml;rter unterschiedlich sind.</li><li>Bitte warten Sie, bis Sie <b>beide Wörter gehört haben</b>, bevor Sie eine Taste drücken. Aber Achtung: Sie haben nur <b>5 Sekunden</b>, um eine Option auszuw&auml;hlen! &Uuml;berlegen Sie daher bitte nicht zu lange.</li></ul><br><p>Dr&uuml;cken Sie eine beliebige Taste, um ein paar Testversuche zu machen.</p></ul></div>"
"audio-keyboard-response","14","97738","0.0-8.0-0.0","0sr9","","","","","","null","null","audio_projekt/treffen1500triefen.wav"
"html-keyboard-response","15","99371","0.0-8.0-1.0","0sr9","","","","","","1633","p","<div></div>"
"audio-keyboard-response","16","103158","0.0-8.0-0.1","0sr9","","","","","","null","null","audio_projekt/treffen1500treffen.wav"
"html-keyboard-response","17","104387","0.0-8.0-1.1","0sr9","","","","","","1229","q","<div></div>"
"html-keyboard-response","18","107630","0.0-9.0","0sr9","","","","","","2434","f","<p>Gut! Jetzt f&auml;ngt der erste Teil des Experiments an. Dieser Teil dauert ca. 10 Minuten.</p><br><p>Bitte dr&uuml;cken Sie eine beliebige Taste, um fortzufahren.<div style=""height:30px; width:100%""></div>"
"audio-keyboard-response","19","110838","0.0-10.0-0.0","0sr9","","","","","","null","null","audio_projekt/segel1500segel.wav"
