"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus"
"pavlovia","0","553","0.0-0.0","33qh","","","","","","","",""
"preload","1","554","0.0-1.0","33qh","true","false","[]","[]","[]","","",""
"survey-html-form","2","18334","0.0-2.0","33qh","","","","","","17779","{""code"":""5d7f532083195d0001c7f1f3""}",""
"html-button-response","3","68303","0.0-3.0","33qh","","","","","","49966","0","<h2>Willkommen zum Experiment!</h2><div class=""myDiv""><p>Vielen Dank f&uuml;r Ihr Interesse an dieser Studie. Wir bitten Sie <strong>Kopfh&ouml;rer</strong> daf&uuml;r zu verwenden.</p></div><div><img src=""pics/headphones.png"" title=""Earbuds are also fine"" width=""250"" height=""200"" class=""center""></div><div class=""myDiv""><p>Das Experiment besteht aus zwei Teilen:</p> <ol> <li>Eine <strong>Unterscheidungsaufgabe,</strong> in der Sie zwei W&ouml;rter h&ouml;ren. Im Anschluss sollen Sie feststellen, ob diese W&ouml;rter gleich oder unterschiedlich sind;</li><li>Eine <strong>Identifikationsaufgabe,</strong> in der Sie nur ein Wort h&ouml;ren, wobei Ihnen aber zwei Bilder gezeigt werden. Ihre Aufgabe ist es, dasjenige Bild auszuw&auml;hlen, das das geh&ouml;rte Wort darstellt.</li> </ol><p>Wir bitten Sie um Ihre Zustimmung, bevor wir Ihre Daten sammeln und verwenden. Bitte klicken Sie auf den ""Start""-Button, um Ihre Zustimmung zu geben. Anschlie&szlig;end werden wir ein paar Fragen zu Ihren Sprachkenntnissen stellen. Danach k&ouml;nnen Sie das Experiment starten. </p></div>"
"survey-html-form","4","109584","0.0-4.0","33qh","","","","","","41279","{""zustimmung"":""on""}",""
"survey-html-form","5","226220","0.0-5.0","33qh","","","","","","116632","{""native"":""Englisch"",""AOL"":""10"",""LearnType4"":""uni"",""LearnType6"":""immersion"",""which"":""durch Immersion"",""AOA"":""10"",""timespent"":""4 Jahre""}",""
"audio-button-response","6","246844","0.0-6.0-0.0","33qh","","","","","","20462","1","audio_projekt/treffen1.wav"
"html-keyboard-response","7","260493","0.0-7.0","33qh","","","","","","13648","control","<h2>Teil 1: Unterscheidungsaufgabe</h2><div class=""myDiv""><p>In diesem Teil des Experimentes werden Sie im Abstand von 1.5 Sekunden <b>zwei W&ouml;rter</b> h&ouml;ren.</p><ul><li>Ihre Aufgabe ist es, festzustellen, ob diese W&ouml;rter <b>gleich oder unterschiedlich</b> sind. Wenn es einen Unterschied gibt, besteht dieser nur aus einem Vokal. </li> <li>Dr&uuml;cken Sie die <b>Taste Q</b>, wenn die W&ouml;rter gleich sind. Dr&uuml;cken Sie die <b>Taste P</b>, wenn die W&ouml;rter unterschiedlich sind.</li><li>Bitte warten Sie, bis Sie <b>beide Wörter gehört haben</b>, bevor Sie eine Taste drücken. Aber Achtung: Sie haben nur <b>5 Sekunden</b>, um eine Option auszuw&auml;hlen! &Uuml;berlegen Sie daher bitte nicht zu lange.</li></ul><br><p>Dr&uuml;cken Sie eine beliebige Taste, um ein paar Testversuche zu machen.</p></ul></div>"
"audio-keyboard-response","8","263693","0.0-8.0-0.0","33qh","","","","","","null","null","audio_projekt/treffen1500triefen.wav"
"html-keyboard-response","9","268695","0.0-8.0-1.0","33qh","","","","","","null","null","<div></div>"
"audio-keyboard-response","10","272889","0.0-8.0-0.1","33qh","","","","","","null","null","audio_projekt/treffen1500treffen.wav"
"html-keyboard-response","11","277890","0.0-8.0-1.1","33qh","","","","","","null","null","<div></div>"
"html-keyboard-response","12","301391","0.0-9.0","33qh","","","","","","22698","enter","<p>Gut! Jetzt f&auml;ngt der erste Teil des Experiments an. Dieser Teil dauert ca. 10 Minuten.</p><br><p>Bitte dr&uuml;cken Sie eine beliebige Taste, um fortzufahren.<div style=""height:30px; width:100%""></div>"
"audio-keyboard-response","13","303949","0.0-10.0-0.0","33qh","","","","","","null","null","audio_projekt/tuer1500tour.wav"
"html-keyboard-response","14","308954","0.0-10.0-1.0","33qh","","","","","","null","null","<div></div>"
"audio-keyboard-response","15","312517","0.0-10.0-0.1","33qh","","","","","","null","null","audio_projekt/blueten1500blueten.wav"
"html-keyboard-response","16","317522","0.0-10.0-1.1","33qh","","","","","","null","null","<div></div>"
"audio-keyboard-response","17","321504","0.0-10.0-0.2","33qh","","","","","","null","null","audio_projekt/spuelen1500spulen.wav"
"html-keyboard-response","18","325935","0.0-10.0-1.2","33qh","","","","","","4431","p","<div></div>"
"audio-keyboard-response","19","329956","0.0-10.0-0.3","33qh","","","","","","null","null","audio_projekt/segel1500segel.wav"
"html-keyboard-response","20","332239","0.0-10.0-1.3","33qh","","","","","","2283","q","<div></div>"
"audio-keyboard-response","21","336388","0.0-10.0-0.4","33qh","","","","","","null","null","audio_projekt/spuelen1500spielen.wav"
"html-keyboard-response","22","337024","0.0-10.0-1.4","33qh","","","","","","635","p","<div></div>"
"audio-keyboard-response","23","340614","0.0-10.0-0.5","33qh","","","","","","null","null","audio_projekt/kuehl1500kiel.wav"
"html-keyboard-response","24","341247","0.0-10.0-1.5","33qh","","","","","","633","q","<div></div>"
"audio-keyboard-response","25","344817","0.0-10.0-0.6","33qh","","","","","","null","null","audio_projekt/bluten1500blueten.wav"
"html-keyboard-response","26","347552","0.0-10.0-1.6","33qh","","","","","","2734","p","<div></div>"
"audio-keyboard-response","27","350901","0.0-10.0-0.7","33qh","","","","","","null","null","audio_projekt/tour1500tier.wav"
"html-keyboard-response","28","351856","0.0-10.0-1.7","33qh","","","","","","955","p","<div></div>"
