"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus"
"pavlovia","0","669","0.0-0.0","38s2","","","","","","","",""
"preload","1","674","0.0-1.0","38s2","true","false","[]","[]","[]","","",""
"survey-html-form","2","6467","0.0-2.0","38s2","","","","","","5792","{""code"":""12345""}",""
"html-button-response","3","9965","0.0-3.0","38s2","","","","","","3491","0","<h2>Willkommen zum Experiment!</h2><div class=""myDiv""><p>Vielen Dank f&uuml;r Ihr Interesse an dieser Studie. Wir bitten Sie <strong>Kopfh&ouml;rer</strong> daf&uuml;r zu verwenden.</p></div><div><img src=""pics/headphones.png"" title=""Earbuds are also fine"" width=""250"" height=""200"" class=""center""></div><div class=""myDiv""><p>Das Experiment besteht aus zwei Teilen:</p> <ol> <li>Eine <strong>Unterscheidungsaufgabe,</strong> in der Sie zwei W&ouml;rter h&ouml;ren. Im Anschluss sollen Sie feststellen, ob diese W&ouml;rter gleich oder unterschiedlich sind;</li><li>Eine <strong>Identifikationsaufgabe,</strong> in der Sie nur ein Wort h&ouml;ren, wobei Ihnen aber zwei Bilder gezeigt werden. Ihre Aufgabe ist es, dasjenige Bild auszuw&auml;hlen, das das geh&ouml;rte Wort darstellt.</li> </ol><p>Wir bitten Sie um Ihre Zustimmung, bevor wir Ihre Daten sammeln und verwenden. Bitte klicken Sie auf den ""Start""-Button, um Ihre Zustimmung zu geben. Anschlie&szlig;end werden wir ein paar Fragen zu Ihren Sprachkenntnissen stellen. Danach k&ouml;nnen Sie das Experiment starten. </p></div>"
"survey-html-form","4","75492","0.0-4.0","38s2","","","","","","65519","{""zustimmung"":""on""}",""
"survey-html-form","5","119726","0.0-5.0","38s2","","","","","","44223","{""native"":""Englisch"",""AOL"":""12"",""LearnType1"":""classeshome"",""LearnType2"":""selflearn"",""LearnType5"":""classesabroad"",""LearnType6"":""immersion"",""which"":""Immersion"",""AOA"":""33"",""timespent"":""7 jahre""}",""
"audio-button-response","6","121734","0.0-6.0-0.0","38s2","","","","","","1957","0","audio_projekt/treffen1.wav"
"audio-button-response","7","123836","0.0-6.1-0.1","38s2","","","","","","2098","0","audio_projekt/treffen1.wav"
"audio-button-response","8","125119","0.0-6.2-0.2","38s2","","","","","","1280","1","audio_projekt/treffen1.wav"
"html-keyboard-response","9","127223","0.0-7.0","38s2","","","","","","2099"," ","<h2>Teil 1: Unterscheidungsaufgabe</h2><div class=""myDiv""><p>In diesem Teil des Experimentes werden Sie im Abstand von 1.5 Sekunden <b>zwei W&ouml;rter</b> h&ouml;ren.</p><ul><li>Ihre Aufgabe ist es, festzustellen, ob diese W&ouml;rter <b>gleich oder unterschiedlich</b> sind. Wenn es einen Unterschied gibt, besteht dieser nur aus einem Vokal. </li> <li>Dr&uuml;cken Sie die <b>Taste Q</b>, wenn die W&ouml;rter gleich sind. Dr&uuml;cken Sie die <b>Taste P</b>, wenn die W&ouml;rter unterschiedlich sind.</li><li>Bitte warten Sie, bis Sie <b>beide Wörter gehört haben</b>, bevor Sie eine Taste drücken. Aber Achtung: Sie haben nur <b>5 Sekunden</b>, um eine Option auszuw&auml;hlen! &Uuml;berlegen Sie daher bitte nicht zu lange.</li></ul><br><p>Dr&uuml;cken Sie eine beliebige Taste, um ein paar Testversuche zu machen.</p></ul></div>"
"audio-keyboard-response","10","130670","0.0-8.0-0.0","38s2","","","","","","null","null","audio_projekt/treffen1500triefen.wav"
"html-keyboard-response","11","132600","0.0-8.0-1.0","38s2","","","","","","1928","p","<div></div>"
"audio-keyboard-response","12","136544","0.0-8.0-0.1","38s2","","","","","","null","null","audio_projekt/treffen1500treffen.wav"
