"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus"
"pavlovia","0","1545","0.0-0.0","4d9c","","","","","","","",""
"preload","1","1546","0.0-1.0","4d9c","true","false","[]","[]","[]","","",""
"survey-html-form","2","5910","0.0-2.0","4d9c","","","","","","4363","{""code"":""61530d04a2176282b7ee6fac""}",""
"html-button-response","3","27739","0.0-3.0","4d9c","","","","","","21826","0","<h2>Willkommen zum Experiment!</h2><div class=""myDiv""><p>Vielen Dank f&uuml;r Ihr Interesse an dieser Studie. Wir bitten Sie <strong>Kopfh&ouml;rer</strong> daf&uuml;r zu verwenden.</p></div><div><img src=""pics/headphones.png"" title=""Earbuds are also fine"" width=""250"" height=""200"" class=""center""></div><div class=""myDiv""><p>Das Experiment besteht aus zwei Teilen:</p> <ol> <li>Eine <strong>Unterscheidungsaufgabe,</strong> in der Sie zwei W&ouml;rter h&ouml;ren. Im Anschluss sollen Sie feststellen, ob diese W&ouml;rter gleich oder unterschiedlich sind;</li><li>Eine <strong>Identifikationsaufgabe,</strong> in der Sie nur ein Wort h&ouml;ren, wobei Ihnen aber zwei Bilder gezeigt werden. Ihre Aufgabe ist es, dasjenige Bild auszuw&auml;hlen, das das geh&ouml;rte Wort darstellt.</li> </ol><p>Wir bitten Sie um Ihre Zustimmung, bevor wir Ihre Daten sammeln und verwenden. Bitte klicken Sie auf den ""Start""-Button, um Ihre Zustimmung zu geben. Anschlie&szlig;end werden wir ein paar Fragen zu Ihren Sprachkenntnissen stellen. Danach k&ouml;nnen Sie das Experiment starten. </p></div>"
"survey-html-form","4","34229","0.0-4.0","4d9c","","","","","","6489","{""zustimmung"":""on""}",""
"survey-html-form","5","122617","0.0-5.0","4d9c","","","","","","88386","{""native"":""Englisch"",""AOL"":""13"",""LearnType1"":""classeshome"",""LearnType6"":""immersion"",""which"":"""",""AOA"":""20"",""timespent"":""9 Monate""}",""
"audio-button-response","6","127788","0.0-6.0-0.0","4d9c","","","","","","4720","1","audio_projekt/treffen1.wav"
"html-keyboard-response","7","143234","0.0-7.0","4d9c","","","","","","15444"," ","<h2>Teil 1: Unterscheidungsaufgabe</h2><div class=""myDiv""><p>In diesem Teil des Experimentes werden Sie im Abstand von 1.5 Sekunden <b>zwei W&ouml;rter</b> h&ouml;ren.</p><ul><li>Ihre Aufgabe ist es, festzustellen, ob diese W&ouml;rter <b>gleich oder unterschiedlich</b> sind. Wenn es einen Unterschied gibt, besteht dieser nur aus einem Vokal. </li> <li>Dr&uuml;cken Sie die <b>Taste Q</b>, wenn die W&ouml;rter gleich sind. Dr&uuml;cken Sie die <b>Taste P</b>, wenn die W&ouml;rter unterschiedlich sind.</li><li>Bitte warten Sie, bis Sie <b>beide Wörter gehört haben</b>, bevor Sie eine Taste drücken. Aber Achtung: Sie haben nur <b>5 Sekunden</b>, um eine Option auszuw&auml;hlen! &Uuml;berlegen Sie daher bitte nicht zu lange.</li></ul><br><p>Dr&uuml;cken Sie eine beliebige Taste, um ein paar Testversuche zu machen.</p></ul></div>"
"audio-keyboard-response","8","147067","0.0-8.0-0.0","4d9c","","","","","","null","null","audio_projekt/treffen1500triefen.wav"
"html-keyboard-response","9","147742","0.0-8.0-1.0","4d9c","","","","","","674","p","<div></div>"
"audio-keyboard-response","10","151887","0.0-8.0-0.1","4d9c","","","","","","null","null","audio_projekt/treffen1500treffen.wav"
"html-keyboard-response","11","153090","0.0-8.0-1.1","4d9c","","","","","","1203","q","<div></div>"
"html-keyboard-response","12","155244","0.0-9.0","4d9c","","","","","","1348"," ","<p>Gut! Jetzt f&auml;ngt der erste Teil des Experiments an. Dieser Teil dauert ca. 10 Minuten.</p><br><p>Bitte dr&uuml;cken Sie eine beliebige Taste, um fortzufahren.<div style=""height:30px; width:100%""></div>"
"audio-keyboard-response","13","158087","0.0-10.0-0.0","4d9c","","","","","","null","null","audio_projekt/tier1500tour.wav"
"html-keyboard-response","14","158547","0.0-10.0-1.0","4d9c","","","","","","459","p","<div></div>"
"audio-keyboard-response","15","162467","0.0-10.0-0.1","4d9c","","","","","","null","null","audio_projekt/buehne1500buehne.wav"
