"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus"
"pavlovia","0","552","0.0-0.0","71wt","","","","","","","",""
"preload","1","553","0.0-1.0","71wt","true","false","[]","[]","[]","","",""
"survey-html-form","2","3826","0.0-2.0","71wt","","","","","","3273","{""code"":""63d211f6c98162a134b19fdb""}",""
"html-button-response","3","9592","0.0-3.0","71wt","","","","","","5765","0","<h2>Willkommen zum Experiment!</h2><div class=""myDiv""><p>Vielen Dank f&uuml;r Ihr Interesse an dieser Studie. Wir bitten Sie <strong>Kopfh&ouml;rer</strong> daf&uuml;r zu verwenden.</p></div><div><img src=""pics/headphones.png"" title=""Earbuds are also fine"" width=""250"" height=""200"" class=""center""></div><div class=""myDiv""><p>Das Experiment besteht aus zwei Teilen:</p> <ol> <li>Eine <strong>Unterscheidungsaufgabe,</strong> in der Sie zwei W&ouml;rter h&ouml;ren. Im Anschluss sollen Sie feststellen, ob diese W&ouml;rter gleich oder unterschiedlich sind;</li><li>Eine <strong>Identifikationsaufgabe,</strong> in der Sie nur ein Wort h&ouml;ren, wobei Ihnen aber zwei Bilder gezeigt werden. Ihre Aufgabe ist es, dasjenige Bild auszuw&auml;hlen, das das geh&ouml;rte Wort darstellt.</li> </ol><p>Wir bitten Sie um Ihre Zustimmung, bevor wir Ihre Daten sammeln und verwenden. Bitte klicken Sie auf den ""Start""-Button, um Ihre Zustimmung zu geben. Anschlie&szlig;end werden wir ein paar Fragen zu Ihren Sprachkenntnissen stellen. Danach k&ouml;nnen Sie das Experiment starten. </p></div>"
"survey-html-form","4","13328","0.0-4.0","71wt","","","","","","3723","{""zustimmung"":""on""}",""
"survey-html-form","5","96263","0.0-5.0","71wt","","","","","","82921","{""native"":""Englisch"",""AOL"":""11"",""LearnType1"":""classeshome"",""LearnType2"":""selflearn"",""LearnType4"":""uni"",""LearnType6"":""immersion"",""which"":""In ein deutschsprachiges Land wohnen"",""AOA"":""20"",""timespent"":""14 Monaten""}",""
"audio-button-response","6","105129","0.0-6.0-0.0","71wt","","","","","","8753","0","audio_projekt/treffen1.wav"
"audio-button-response","7","107286","0.0-6.1-0.1","71wt","","","","","","2156","1","audio_projekt/treffen1.wav"
"html-keyboard-response","8","141075","0.0-7.0","71wt","","","","","","33788","p","<h2>Teil 1: Unterscheidungsaufgabe</h2><div class=""myDiv""><p>In diesem Teil des Experimentes werden Sie im Abstand von 1.5 Sekunden <b>zwei W&ouml;rter</b> h&ouml;ren.</p><ul><li>Ihre Aufgabe ist es, festzustellen, ob diese W&ouml;rter <b>gleich oder unterschiedlich</b> sind. Wenn es einen Unterschied gibt, besteht dieser nur aus einem Vokal. </li> <li>Dr&uuml;cken Sie die <b>Taste Q</b>, wenn die W&ouml;rter gleich sind. Dr&uuml;cken Sie die <b>Taste P</b>, wenn die W&ouml;rter unterschiedlich sind.</li><li>Bitte warten Sie, bis Sie <b>beide Wörter gehört haben</b>, bevor Sie eine Taste drücken. Aber Achtung: Sie haben nur <b>5 Sekunden</b>, um eine Option auszuw&auml;hlen! &Uuml;berlegen Sie daher bitte nicht zu lange.</li></ul><br><p>Dr&uuml;cken Sie eine beliebige Taste, um ein paar Testversuche zu machen.</p></ul></div>"
"audio-keyboard-response","9","145195","0.0-8.0-0.0","71wt","","","","","","null","null","audio_projekt/treffen1500triefen.wav"
"html-keyboard-response","10","146709","0.0-8.0-1.0","71wt","","","","","","1512","p","<div></div>"
"audio-keyboard-response","11","150474","0.0-8.0-0.1","71wt","","","","","","null","null","audio_projekt/treffen1500treffen.wav"
"html-keyboard-response","12","150728","0.0-8.0-1.1","71wt","","","","","","253","q","<div></div>"
"html-keyboard-response","13","155309","0.0-9.0","71wt","","","","","","3764","p","<p>Gut! Jetzt f&auml;ngt der erste Teil des Experiments an. Dieser Teil dauert ca. 10 Minuten.</p><br><p>Bitte dr&uuml;cken Sie eine beliebige Taste, um fortzufahren.<div style=""height:30px; width:100%""></div>"
"audio-keyboard-response","14","158926","0.0-10.0-0.0","71wt","","","","","","null","null","audio_projekt/blueten1500bluten.wav"
"html-keyboard-response","15","159684","0.0-10.0-1.0","71wt","","","","","","757","p","<div></div>"
"audio-keyboard-response","16","164100","0.0-10.0-0.1","71wt","","","","","","null","null","audio_projekt/segel1500segel.wav"
"html-keyboard-response","17","164484","0.0-10.0-1.1","71wt","","","","","","384","q","<div></div>"
"audio-keyboard-response","18","168175","0.0-10.0-0.2","71wt","","","","","","null","null","audio_projekt/lieder1500leder.wav"
"html-keyboard-response","19","168745","0.0-10.0-1.2","71wt","","","","","","569","p","<div></div>"
"audio-keyboard-response","20","172854","0.0-10.0-0.3","71wt","","","","","","null","null","audio_projekt/spielen1500spuelen.wav"
"html-keyboard-response","21","173012","0.0-10.0-1.3","71wt","","","","","","157","p","<div></div>"
"audio-keyboard-response","22","176969","0.0-10.0-0.4","71wt","","","","","","null","null","audio_projekt/stiel1500stiel.wav"
"html-keyboard-response","23","177437","0.0-10.0-1.4","71wt","","","","","","466","q","<div></div>"
"audio-keyboard-response","24","181443","0.0-10.0-0.5","71wt","","","","","","null","null","audio_projekt/siegel1500segel.wav"
"html-keyboard-response","25","181730","0.0-10.0-1.5","71wt","","","","","","286","p","<div></div>"
"audio-keyboard-response","26","185727","0.0-10.0-0.6","71wt","","","","","","null","null","audio_projekt/spuelen1500spulen.wav"
"html-keyboard-response","27","187636","0.0-10.0-1.6","71wt","","","","","","1907","p","<div></div>"
"audio-keyboard-response","28","191846","0.0-10.0-0.7","71wt","","","","","","null","null","audio_projekt/spulen1500spulen.wav"
"html-keyboard-response","29","191989","0.0-10.0-1.7","71wt","","","","","","143","q","<div></div>"
"audio-keyboard-response","30","195925","0.0-10.0-0.8","71wt","","","","","","null","null","audio_projekt/stuhl1500stuhl.wav"
"html-keyboard-response","31","196212","0.0-10.0-1.8","71wt","","","","","","287","q","<div></div>"
"audio-keyboard-response","32","200112","0.0-10.0-0.9","71wt","","","","","","null","null","audio_projekt/stuhl1500stiel.wav"
"html-keyboard-response","33","200322","0.0-10.0-1.9","71wt","","","","","","211","p","<div></div>"
"audio-keyboard-response","34","203951","0.0-10.0-0.10","71wt","","","","","","null","null","audio_projekt/kiel1500kuehl.wav"
"html-keyboard-response","35","204207","0.0-10.0-1.10","71wt","","","","","","255","p","<div></div>"
"audio-keyboard-response","36","207589","0.0-10.0-0.11","71wt","","","","","","null","null","audio_projekt/tuer1500tuer.wav"
"html-keyboard-response","37","208117","0.0-10.0-1.11","71wt","","","","","","528","q","<div></div>"
"audio-keyboard-response","38","212131","0.0-10.0-0.12","71wt","","","","","","null","null","audio_projekt/siegel1500siegel.wav"
"html-keyboard-response","39","212441","0.0-10.0-1.12","71wt","","","","","","310","q","<div></div>"
"audio-keyboard-response","40","215801","0.0-10.0-0.13","71wt","","","","","","null","null","audio_projekt/tour1500tier.wav"
"html-keyboard-response","41","216146","0.0-10.0-1.13","71wt","","","","","","344","p","<div></div>"
"audio-keyboard-response","42","220025","0.0-10.0-0.14","71wt","","","","","","null","null","audio_projekt/segel1500segel.wav"
"html-keyboard-response","43","220246","0.0-10.0-1.14","71wt","","","","","","219","q","<div></div>"
"audio-keyboard-response","44","223759","0.0-10.0-0.15","71wt","","","","","","null","null","audio_projekt/buehne1500biene.wav"
"html-keyboard-response","45","223974","0.0-10.0-1.15","71wt","","","","","","215","p","<div></div>"
"audio-keyboard-response","46","227334","0.0-10.0-0.16","71wt","","","","","","null","null","audio_projekt/tour1500tour.wav"
"html-keyboard-response","47","227714","0.0-10.0-1.16","71wt","","","","","","379","q","<div></div>"
"audio-keyboard-response","48","231242","0.0-10.0-0.17","71wt","","","","","","null","null","audio_projekt/biene1500buehne.wav"
"html-keyboard-response","49","231404","0.0-10.0-1.17","71wt","","","","","","162","p","<div></div>"
"audio-keyboard-response","50","235043","0.0-10.0-0.18","71wt","","","","","","null","null","audio_projekt/kuehl1500kiel.wav"
"html-keyboard-response","51","235232","0.0-10.0-1.18","71wt","","","","","","188","p","<div></div>"
"audio-keyboard-response","52","239070","0.0-10.0-0.19","71wt","","","","","","null","null","audio_projekt/spuelen1500spulen.wav"
"html-keyboard-response","53","239276","0.0-10.0-1.19","71wt","","","","","","205","p","<div></div>"
"audio-keyboard-response","54","243287","0.0-10.0-0.20","71wt","","","","","","null","null","audio_projekt/spulen1500spuelen.wav"
"html-keyboard-response","55","243553","0.0-10.0-1.20","71wt","","","","","","265","p","<div></div>"
"audio-keyboard-response","56","247163","0.0-10.0-0.21","71wt","","","","","","null","null","audio_projekt/leder1500leder.wav"
"html-keyboard-response","57","247523","0.0-10.0-1.21","71wt","","","","","","357","q","<div></div>"
"audio-keyboard-response","58","251608","0.0-10.0-0.22","71wt","","","","","","null","null","audio_projekt/spielen1500spielen.wav"
