"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus"
"pavlovia","0","1578","0.0-0.0","8dul","","","","","","","",""
"preload","1","1633","0.0-1.0","8dul","true","false","[]","[]","[]","","",""
"survey-html-form","2","8158","0.0-2.0","8dul","","","","","","6517","{""code"":""5eca55ce7b00b50119c64518""}",""
"html-button-response","3","38465","0.0-3.0","8dul","","","","","","30303","0","<h2>Willkommen zum Experiment!</h2><div class=""myDiv""><p>Vielen Dank f&uuml;r Ihr Interesse an dieser Studie. Wir bitten Sie <strong>Kopfh&ouml;rer</strong> daf&uuml;r zu verwenden.</p></div><div><img src=""pics/headphones.png"" title=""Earbuds are also fine"" width=""250"" height=""200"" class=""center""></div><div class=""myDiv""><p>Das Experiment besteht aus zwei Teilen:</p> <ol> <li>Eine <strong>Unterscheidungsaufgabe,</strong> in der Sie zwei W&ouml;rter h&ouml;ren. Im Anschluss sollen Sie feststellen, ob diese W&ouml;rter gleich oder unterschiedlich sind;</li><li>Eine <strong>Identifikationsaufgabe,</strong> in der Sie nur ein Wort h&ouml;ren, wobei Ihnen aber zwei Bilder gezeigt werden. Ihre Aufgabe ist es, dasjenige Bild auszuw&auml;hlen, das das geh&ouml;rte Wort darstellt.</li> </ol><p>Wir bitten Sie um Ihre Zustimmung, bevor wir Ihre Daten sammeln und verwenden. Bitte klicken Sie auf den ""Start""-Button, um Ihre Zustimmung zu geben. Anschlie&szlig;end werden wir ein paar Fragen zu Ihren Sprachkenntnissen stellen. Danach k&ouml;nnen Sie das Experiment starten. </p></div>"
"survey-html-form","4","44105","0.0-4.0","8dul","","","","","","5637","{""zustimmung"":""on""}",""
"survey-html-form","5","94167","0.0-5.0","8dul","","","","","","50056","{""native"":""Engish "",""AOL"":""12"",""LearnType3"":""lgeschool"",""which"":"""",""AOA"":"""",""timespent"":""""}",""
"audio-button-response","6","98647","0.0-6.0-0.0","8dul","","","","","","3583","0","audio_projekt/treffen1.wav"
"audio-button-response","7","99953","0.0-6.1-0.1","8dul","","","","","","1302","0","audio_projekt/treffen1.wav"
"audio-button-response","8","101005","0.0-6.2-0.2","8dul","","","","","","1049","0","audio_projekt/treffen1.wav"
"audio-button-response","9","102328","0.0-6.3-0.3","8dul","","","","","","1319","1","audio_projekt/treffen1.wav"
"html-keyboard-response","10","115072","0.0-7.0","8dul","","","","","","12741","q","<h2>Teil 1: Unterscheidungsaufgabe</h2><div class=""myDiv""><p>In diesem Teil des Experimentes werden Sie im Abstand von 1.5 Sekunden <b>zwei W&ouml;rter</b> h&ouml;ren.</p><ul><li>Ihre Aufgabe ist es, festzustellen, ob diese W&ouml;rter <b>gleich oder unterschiedlich</b> sind. Wenn es einen Unterschied gibt, besteht dieser nur aus einem Vokal. </li> <li>Dr&uuml;cken Sie die <b>Taste Q</b>, wenn die W&ouml;rter gleich sind. Dr&uuml;cken Sie die <b>Taste P</b>, wenn die W&ouml;rter unterschiedlich sind.</li><li>Bitte warten Sie, bis Sie <b>beide Wörter gehört haben</b>, bevor Sie eine Taste drücken. Aber Achtung: Sie haben nur <b>5 Sekunden</b>, um eine Option auszuw&auml;hlen! &Uuml;berlegen Sie daher bitte nicht zu lange.</li></ul><br><p>Dr&uuml;cken Sie eine beliebige Taste, um ein paar Testversuche zu machen.</p></ul></div>"
"audio-keyboard-response","11","118663","0.0-8.0-0.0","8dul","","","","","","null","null","audio_projekt/treffen1500triefen.wav"
"html-keyboard-response","12","119742","0.0-8.0-1.0","8dul","","","","","","1076","p","<div></div>"
"audio-keyboard-response","13","123941","0.0-8.0-0.1","8dul","","","","","","null","null","audio_projekt/treffen1500treffen.wav"
"html-keyboard-response","14","124531","0.0-8.0-1.1","8dul","","","","","","588","q","<div></div>"
"html-keyboard-response","15","127821","0.0-9.0","8dul","","","","","","2470"," ","<p>Gut! Jetzt f&auml;ngt der erste Teil des Experiments an. Dieser Teil dauert ca. 10 Minuten.</p><br><p>Bitte dr&uuml;cken Sie eine beliebige Taste, um fortzufahren.<div style=""height:30px; width:100%""></div>"
"audio-keyboard-response","16","130521","0.0-10.0-0.0","8dul","","","","","","null","null","audio_projekt/tour1500tour.wav"
"html-keyboard-response","17","131054","0.0-10.0-1.0","8dul","","","","","","532","q","<div></div>"
"audio-keyboard-response","18","134880","0.0-10.0-0.1","8dul","","","","","","null","null","audio_projekt/tier1500tour.wav"
"html-keyboard-response","19","135747","0.0-10.0-1.1","8dul","","","","","","865","p","<div></div>"
"audio-keyboard-response","20","139502","0.0-10.0-0.2","8dul","","","","","","null","null","audio_projekt/lieder1500leder.wav"
"html-keyboard-response","21","140385","0.0-10.0-1.2","8dul","","","","","","882","p","<div></div>"
"audio-keyboard-response","22","144300","0.0-10.0-0.3","8dul","","","","","","null","null","audio_projekt/bluten1500blueten.wav"
"html-keyboard-response","23","145584","0.0-10.0-1.3","8dul","","","","","","1282","q","<div></div>"
"audio-keyboard-response","24","149121","0.0-10.0-0.4","8dul","","","","","","null","null","audio_projekt/lieder1500leder.wav"
"html-keyboard-response","25","150502","0.0-10.0-1.4","8dul","","","","","","1378","q","<div></div>"
"audio-keyboard-response","26","155422","0.0-10.0-0.5","8dul","","","","","","null","null","audio_projekt/spulen1500spulen.wav"
"html-keyboard-response","27","155656","0.0-10.0-1.5","8dul","","","","","","232","q","<div></div>"
"audio-keyboard-response","28","159862","0.0-10.0-0.6","8dul","","","","","","null","null","audio_projekt/siegel1500siegel.wav"
"html-keyboard-response","29","160261","0.0-10.0-1.6","8dul","","","","","","397","q","<div></div>"
"audio-keyboard-response","30","164662","0.0-10.0-0.7","8dul","","","","","","null","null","audio_projekt/spuelen1500spulen.wav"
"html-keyboard-response","31","164997","0.0-10.0-1.7","8dul","","","","","","333","p","<div></div>"
"audio-keyboard-response","32","169080","0.0-10.0-0.8","8dul","","","","","","null","null","audio_projekt/stiel1500stiel.wav"
"html-keyboard-response","33","169291","0.0-10.0-1.8","8dul","","","","","","210","q","<div></div>"
"audio-keyboard-response","34","173721","0.0-10.0-0.9","8dul","","","","","","null","null","audio_projekt/spulen1500spuelen.wav"
"html-keyboard-response","35","174184","0.0-10.0-1.9","8dul","","","","","","462","p","<div></div>"
"audio-keyboard-response","36","178140","0.0-10.0-0.10","8dul","","","","","","null","null","audio_projekt/kuehl1500kuehl.wav"
"html-keyboard-response","37","178525","0.0-10.0-1.10","8dul","","","","","","384","q","<div></div>"
"audio-keyboard-response","38","182724","0.0-10.0-0.11","8dul","","","","","","null","null","audio_projekt/leder1500lieder.wav"
"html-keyboard-response","39","183242","0.0-10.0-1.11","8dul","","","","","","516","p","<div></div>"
"audio-keyboard-response","40","187641","0.0-10.0-0.12","8dul","","","","","","null","null","audio_projekt/siegel1500siegel.wav"
"html-keyboard-response","41","187694","0.0-10.0-1.12","8dul","","","","","","51","q","<div></div>"
"audio-keyboard-response","42","191202","0.0-10.0-0.13","8dul","","","","","","null","null","audio_projekt/kuehl1500kuehl.wav"
"html-keyboard-response","43","191408","0.0-10.0-1.13","8dul","","","","","","203","q","<div></div>"
"audio-keyboard-response","44","195461","0.0-10.0-0.14","8dul","","","","","","null","null","audio_projekt/kiel1500kiel.wav"
"html-keyboard-response","45","195742","0.0-10.0-1.14","8dul","","","","","","279","q","<div></div>"
"audio-keyboard-response","46","199222","0.0-10.0-0.15","8dul","","","","","","null","null","audio_projekt/tier1500tier.wav"
"html-keyboard-response","47","199535","0.0-10.0-1.15","8dul","","","","","","312","q","<div></div>"
"audio-keyboard-response","48","203322","0.0-10.0-0.16","8dul","","","","","","null","null","audio_projekt/tour1500tier.wav"
"html-keyboard-response","49","203778","0.0-10.0-1.16","8dul","","","","","","453","p","<div></div>"
"audio-keyboard-response","50","208482","0.0-10.0-0.17","8dul","","","","","","null","null","audio_projekt/spielen1500spielen.wav"
"html-keyboard-response","51","208624","0.0-10.0-1.17","8dul","","","","","","140","q","<div></div>"
"audio-keyboard-response","52","213262","0.0-10.0-0.18","8dul","","","","","","null","null","audio_projekt/spielen1500spulen.wav"
"html-keyboard-response","53","213513","0.0-10.0-1.18","8dul","","","","","","251","p","<div></div>"
"audio-keyboard-response","54","217801","0.0-10.0-0.19","8dul","","","","","","null","null","audio_projekt/spuelen1500spielen.wav"
"html-keyboard-response","55","218499","0.0-10.0-1.19","8dul","","","","","","696","p","<div></div>"
"audio-keyboard-response","56","222081","0.0-10.0-0.20","8dul","","","","","","null","null","audio_projekt/kiel1500kiel.wav"
"html-keyboard-response","57","222491","0.0-10.0-1.20","8dul","","","","","","409","q","<div></div>"
"audio-keyboard-response","58","226361","0.0-10.0-0.21","8dul","","","","","","null","null","audio_projekt/spuelen1500spulen.wav"
"html-keyboard-response","59","226766","0.0-10.0-1.21","8dul","","","","","","403","p","<div></div>"
"audio-keyboard-response","60","230542","0.0-10.0-0.22","8dul","","","","","","null","null","audio_projekt/tuer1500tuer.wav"
"html-keyboard-response","61","231050","0.0-10.0-1.22","8dul","","","","","","505","q","<div></div>"
"audio-keyboard-response","62","235082","0.0-10.0-0.23","8dul","","","","","","null","null","audio_projekt/kuehl1500kiel.wav"
"html-keyboard-response","63","235516","0.0-10.0-1.23","8dul","","","","","","431","p","<div></div>"
"audio-keyboard-response","64","240061","0.0-10.0-0.24","8dul","","","","","","null","null","audio_projekt/lieder1500lieder.wav"
"html-keyboard-response","65","240379","0.0-10.0-1.24","8dul","","","","","","317","q","<div></div>"
"audio-keyboard-response","66","244161","0.0-10.0-0.25","8dul","","","","","","null","null","audio_projekt/tuer1500tour.wav"
"html-keyboard-response","67","244623","0.0-10.0-1.25","8dul","","","","","","461","p","<div></div>"
"audio-keyboard-response","68","248942","0.0-10.0-0.26","8dul","","","","","","null","null","audio_projekt/spuelen1500spuelen.wav"
"html-keyboard-response","69","248958","0.0-10.0-1.26","8dul","","","","","","14","q","<div></div>"
"audio-keyboard-response","70","253623","0.0-10.0-0.27","8dul","","","","","","null","null","audio_projekt/leder1500leder.wav"
"html-keyboard-response","71","254402","0.0-10.0-1.27","8dul","","","","","","777","q","<div></div>"
"audio-keyboard-response","72","258501","0.0-10.0-0.28","8dul","","","","","","null","null","audio_projekt/spulen1500spulen.wav"
"html-keyboard-response","73","258608","0.0-10.0-1.28","8dul","","","","","","106","q","<div></div>"
"audio-keyboard-response","74","262042","0.0-10.0-0.29","8dul","","","","","","null","null","audio_projekt/bluten1500blueten.wav"
"html-keyboard-response","75","262582","0.0-10.0-1.29","8dul","","","","","","538","p","<div></div>"
"audio-keyboard-response","76","266843","0.0-10.0-0.30","8dul","","","","","","null","null","audio_projekt/buehne1500buehne.wav"
"html-keyboard-response","77","267182","0.0-10.0-1.30","8dul","","","","","","337","q","<div></div>"
"audio-keyboard-response","78","271261","0.0-10.0-0.31","8dul","","","","","","null","null","audio_projekt/stiel1500stuhl.wav"
"html-keyboard-response","79","271761","0.0-10.0-1.31","8dul","","","","","","498","p","<div></div>"
"audio-keyboard-response","80","275903","0.0-10.0-0.32","8dul","","","","","","null","null","audio_projekt/spuelen1500spuelen.wav"
"html-keyboard-response","81","276181","0.0-10.0-1.32","8dul","","","","","","276","q","<div></div>"
"audio-keyboard-response","82","280042","0.0-10.0-0.33","8dul","","","","","","null","null","audio_projekt/spulen1500spuelen.wav"
"html-keyboard-response","83","280452","0.0-10.0-1.33","8dul","","","","","","410","p","<div></div>"
"audio-keyboard-response","84","284502","0.0-10.0-0.34","8dul","","","","","","null","null","audio_projekt/spielen1500spielen.wav"
"html-keyboard-response","85","284643","0.0-10.0-1.34","8dul","","","","","","140","q","<div></div>"
"audio-keyboard-response","86","287902","0.0-10.0-0.35","8dul","","","","","","null","null","audio_projekt/tuer1500tuer.wav"
"html-keyboard-response","87","288387","0.0-10.0-1.35","8dul","","","","","","484","q","<div></div>"
"audio-keyboard-response","88","291803","0.0-10.0-0.36","8dul","","","","","","null","null","audio_projekt/buehne1500buehne.wav"
"html-keyboard-response","89","292076","0.0-10.0-1.36","8dul","","","","","","270","q","<div></div>"
"audio-keyboard-response","90","296501","0.0-10.0-0.37","8dul","","","","","","null","null","audio_projekt/stuhl1500stuhl.wav"
"html-keyboard-response","91","296854","0.0-10.0-1.37","8dul","","","","","","352","q","<div></div>"
"audio-keyboard-response","92","300502","0.0-10.0-0.38","8dul","","","","","","null","null","audio_projekt/blueten1500bluten.wav"
"html-keyboard-response","93","301123","0.0-10.0-1.38","8dul","","","","","","618","p","<div></div>"
"audio-keyboard-response","94","304380","0.0-10.0-0.39","8dul","","","","","","null","null","audio_projekt/tour1500tour.wav"
"html-keyboard-response","95","305043","0.0-10.0-1.39","8dul","","","","","","662","q","<div></div>"
"audio-keyboard-response","96","309562","0.0-10.0-0.40","8dul","","","","","","null","null","audio_projekt/segel1500siegel.wav"
"html-keyboard-response","97","310050","0.0-10.0-1.40","8dul","","","","","","485","p","<div></div>"
"audio-keyboard-response","98","314542","0.0-10.0-0.41","8dul","","","","","","null","null","audio_projekt/spielen1500spuelen.wav"
"html-keyboard-response","99","314711","0.0-10.0-1.41","8dul","","","","","","165","p","<div></div>"
"audio-keyboard-response","100","318382","0.0-10.0-0.42","8dul","","","","","","null","null","audio_projekt/bluten1500bluten.wav"
"html-keyboard-response","101","318742","0.0-10.0-1.42","8dul","","","","","","359","q","<div></div>"
"audio-keyboard-response","102","322640","0.0-10.0-0.43","8dul","","","","","","null","null","audio_projekt/segel1500siegel.wav"
"html-keyboard-response","103","322881","0.0-10.0-1.43","8dul","","","","","","240","p","<div></div>"
"audio-keyboard-response","104","326302","0.0-10.0-0.44","8dul","","","","","","null","null","audio_projekt/bluten1500bluten.wav"
"html-keyboard-response","105","327023","0.0-10.0-1.44","8dul","","","","","","719","q","<div></div>"
"audio-keyboard-response","106","330961","0.0-10.0-0.45","8dul","","","","","","null","null","audio_projekt/biene1500biene.wav"
"html-keyboard-response","107","331337","0.0-10.0-1.45","8dul","","","","","","375","q","<div></div>"
"audio-keyboard-response","108","335241","0.0-10.0-0.46","8dul","","","","","","null","null","audio_projekt/blueten1500blueten.wav"
"html-keyboard-response","109","335422","0.0-10.0-1.46","8dul","","","","","","178","q","<div></div>"
"audio-keyboard-response","110","339420","0.0-10.0-0.47","8dul","","","","","","null","null","audio_projekt/biene1500buehne.wav"
"html-keyboard-response","111","339779","0.0-10.0-1.47","8dul","","","","","","357","p","<div></div>"
"audio-keyboard-response","112","343900","0.0-10.0-0.48","8dul","","","","","","null","null","audio_projekt/kiel1500kuehl.wav"
"html-keyboard-response","113","344285","0.0-10.0-1.48","8dul","","","","","","384","p","<div></div>"
"audio-keyboard-response","114","348580","0.0-10.0-0.49","8dul","","","","","","null","null","audio_projekt/spulen1500spielen.wav"
