"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus"
"pavlovia","0","1404","0.0-0.0","bnpb","","","","","","","",""
"preload","1","1405","0.0-1.0","bnpb","true","false","[]","[]","[]","","",""
"survey-html-form","2","7707","0.0-2.0","bnpb","","","","","","6296","{""code"":""6659d2b560f5a3494c8bca06""}",""
"html-button-response","3","60088","0.0-3.0","bnpb","","","","","","52378","0","<h2>Willkommen zum Experiment!</h2><div class=""myDiv""><p>Vielen Dank f&uuml;r Ihr Interesse an dieser Studie. Wir bitten Sie <strong>Kopfh&ouml;rer</strong> daf&uuml;r zu verwenden.</p></div><div><img src=""pics/headphones.png"" title=""Earbuds are also fine"" width=""250"" height=""200"" class=""center""></div><div class=""myDiv""><p>Das Experiment besteht aus zwei Teilen:</p> <ol> <li>Eine <strong>Unterscheidungsaufgabe,</strong> in der Sie zwei W&ouml;rter h&ouml;ren. Im Anschluss sollen Sie feststellen, ob diese W&ouml;rter gleich oder unterschiedlich sind;</li><li>Eine <strong>Identifikationsaufgabe,</strong> in der Sie nur ein Wort h&ouml;ren, wobei Ihnen aber zwei Bilder gezeigt werden. Ihre Aufgabe ist es, dasjenige Bild auszuw&auml;hlen, das das geh&ouml;rte Wort darstellt.</li> </ol><p>Wir bitten Sie um Ihre Zustimmung, bevor wir Ihre Daten sammeln und verwenden. Bitte klicken Sie auf den ""Start""-Button, um Ihre Zustimmung zu geben. Anschlie&szlig;end werden wir ein paar Fragen zu Ihren Sprachkenntnissen stellen. Danach k&ouml;nnen Sie das Experiment starten. </p></div>"
"survey-html-form","4","65157","0.0-4.0","bnpb","","","","","","5066","{""zustimmung"":""on""}",""
"survey-html-form","5","132465","0.0-5.0","bnpb","","","","","","67303","{""native"":""Englisch"",""AOL"":""13"",""LearnType4"":""uni"",""which"":"""",""AOA"":"""",""timespent"":""""}",""
"audio-button-response","6","141729","0.0-6.0-0.0","bnpb","","","","","","9152","0","audio_projekt/treffen1.wav"
"audio-button-response","7","157499","0.0-6.1-0.1","bnpb","","","","","","15767","1","audio_projekt/treffen1.wav"
"html-keyboard-response","8","223078","0.0-7.0","bnpb","","","","","","65585"," ","<h2>Teil 1: Unterscheidungsaufgabe</h2><div class=""myDiv""><p>In diesem Teil des Experimentes werden Sie im Abstand von 1.5 Sekunden <b>zwei W&ouml;rter</b> h&ouml;ren.</p><ul><li>Ihre Aufgabe ist es, festzustellen, ob diese W&ouml;rter <b>gleich oder unterschiedlich</b> sind. Wenn es einen Unterschied gibt, besteht dieser nur aus einem Vokal. </li> <li>Dr&uuml;cken Sie die <b>Taste Q</b>, wenn die W&ouml;rter gleich sind. Dr&uuml;cken Sie die <b>Taste P</b>, wenn die W&ouml;rter unterschiedlich sind.</li><li>Bitte warten Sie, bis Sie <b>beide Wörter gehört haben</b>, bevor Sie eine Taste drücken. Aber Achtung: Sie haben nur <b>5 Sekunden</b>, um eine Option auszuw&auml;hlen! &Uuml;berlegen Sie daher bitte nicht zu lange.</li></ul><br><p>Dr&uuml;cken Sie eine beliebige Taste, um ein paar Testversuche zu machen.</p></ul></div>"
"audio-keyboard-response","9","226332","0.0-8.0-0.0","bnpb","","","","","","null","null","audio_projekt/treffen1500triefen.wav"
"html-keyboard-response","10","226910","0.0-8.0-1.0","bnpb","","","","","","577","p","<div></div>"
"audio-keyboard-response","11","230720","0.0-8.0-0.1","bnpb","","","","","","null","null","audio_projekt/treffen1500treffen.wav"
"html-keyboard-response","12","231295","0.0-8.0-1.1","bnpb","","","","","","574","q","<div></div>"
"html-keyboard-response","13","239767","0.0-9.0","bnpb","","","","","","7670"," ","<p>Gut! Jetzt f&auml;ngt der erste Teil des Experiments an. Dieser Teil dauert ca. 10 Minuten.</p><br><p>Bitte dr&uuml;cken Sie eine beliebige Taste, um fortzufahren.<div style=""height:30px; width:100%""></div>"
"audio-keyboard-response","14","243165","0.0-10.0-0.0","bnpb","","","","","","null","null","audio_projekt/spulen1500spulen.wav"
"html-keyboard-response","15","243446","0.0-10.0-1.0","bnpb","","","","","","280","q","<div></div>"
"audio-keyboard-response","16","247646","0.0-10.0-0.1","bnpb","","","","","","null","null","audio_projekt/spielen1500spulen.wav"
"html-keyboard-response","17","248195","0.0-10.0-1.1","bnpb","","","","","","548","p","<div></div>"
"audio-keyboard-response","18","251710","0.0-10.0-0.2","bnpb","","","","","","null","null","audio_projekt/buehne1500biene.wav"
"html-keyboard-response","19","251979","0.0-10.0-1.2","bnpb","","","","","","268","p","<div></div>"
"audio-keyboard-response","20","255564","0.0-10.0-0.3","bnpb","","","","","","null","null","audio_projekt/blueten1500bluten.wav"
"html-keyboard-response","21","257413","0.0-10.0-1.3","bnpb","","","","","","1848","p","<div></div>"
"audio-keyboard-response","22","260928","0.0-10.0-0.4","bnpb","","","","","","null","null","audio_projekt/tuer1500tour.wav"
"html-keyboard-response","23","263508","0.0-10.0-1.4","bnpb","","","","","","2579","p","<div></div>"
"audio-keyboard-response","24","266733","0.0-10.0-0.5","bnpb","","","","","","null","null","audio_projekt/tuer1500tour.wav"
"html-keyboard-response","25","268038","0.0-10.0-1.5","bnpb","","","","","","1303","p","<div></div>"
"audio-keyboard-response","26","272027","0.0-10.0-0.6","bnpb","","","","","","null","null","audio_projekt/spuelen1500spulen.wav"
"html-keyboard-response","27","273526","0.0-10.0-1.6","bnpb","","","","","","1498","p","<div></div>"
"audio-keyboard-response","28","277554","0.0-10.0-0.7","bnpb","","","","","","null","null","audio_projekt/segel1500siegel.wav"
"html-keyboard-response","29","277927","0.0-10.0-1.7","bnpb","","","","","","372","p","<div></div>"
"audio-keyboard-response","30","281617","0.0-10.0-0.8","bnpb","","","","","","null","null","audio_projekt/kuehl1500kuehl.wav"
"html-keyboard-response","31","282569","0.0-10.0-1.8","bnpb","","","","","","951","q","<div></div>"
"audio-keyboard-response","32","286517","0.0-10.0-0.9","bnpb","","","","","","null","null","audio_projekt/stiel1500stuhl.wav"
"html-keyboard-response","33","286937","0.0-10.0-1.9","bnpb","","","","","","420","p","<div></div>"
"audio-keyboard-response","34","290812","0.0-10.0-0.10","bnpb","","","","","","null","null","audio_projekt/segel1500siegel.wav"
"html-keyboard-response","35","291138","0.0-10.0-1.10","bnpb","","","","","","324","p","<div></div>"
"audio-keyboard-response","36","295085","0.0-10.0-0.11","bnpb","","","","","","null","null","audio_projekt/stuhl1500stiel.wav"
"html-keyboard-response","37","295383","0.0-10.0-1.11","bnpb","","","","","","297","p","<div></div>"
"audio-keyboard-response","38","299427","0.0-10.0-0.12","bnpb","","","","","","null","null","audio_projekt/siegel1500segel.wav"
"html-keyboard-response","39","299854","0.0-10.0-1.12","bnpb","","","","","","426","p","<div></div>"
"audio-keyboard-response","40","303328","0.0-10.0-0.13","bnpb","","","","","","null","null","audio_projekt/tier1500tour.wav"
"html-keyboard-response","41","303665","0.0-10.0-1.13","bnpb","","","","","","336","p","<div></div>"
"audio-keyboard-response","42","307345","0.0-10.0-0.14","bnpb","","","","","","null","null","audio_projekt/leder1500leder.wav"
"html-keyboard-response","43","307695","0.0-10.0-1.14","bnpb","","","","","","348","q","<div></div>"
"audio-keyboard-response","44","311107","0.0-10.0-0.15","bnpb","","","","","","null","null","audio_projekt/tour1500tuer.wav"
"html-keyboard-response","45","311645","0.0-10.0-1.15","bnpb","","","","","","537","p","<div></div>"
"audio-keyboard-response","46","315473","0.0-10.0-0.16","bnpb","","","","","","null","null","audio_projekt/stiel1500stuhl.wav"
"html-keyboard-response","47","315711","0.0-10.0-1.16","bnpb","","","","","","238","p","<div></div>"
