"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus"
"pavlovia","0","647","0.0-0.0","c8ge","","","","","","","",""
"preload","1","648","0.0-1.0","c8ge","true","false","[]","[]","[]","","",""
"survey-html-form","2","4287","0.0-2.0","c8ge","","","","","","3638","{""code"":""664604f35aef1fc1e36705cb""}",""
"html-button-response","3","7308","0.0-3.0","c8ge","","","","","","3019","0","<h2>Willkommen zum Experiment!</h2><div class=""myDiv""><p>Vielen Dank f&uuml;r Ihr Interesse an dieser Studie. Wir bitten Sie <strong>Kopfh&ouml;rer</strong> daf&uuml;r zu verwenden.</p></div><div><img src=""pics/headphones.png"" title=""Earbuds are also fine"" width=""250"" height=""200"" class=""center""></div><div class=""myDiv""><p>Das Experiment besteht aus zwei Teilen:</p> <ol> <li>Eine <strong>Unterscheidungsaufgabe,</strong> in der Sie zwei W&ouml;rter h&ouml;ren. Im Anschluss sollen Sie feststellen, ob diese W&ouml;rter gleich oder unterschiedlich sind;</li><li>Eine <strong>Identifikationsaufgabe,</strong> in der Sie nur ein Wort h&ouml;ren, wobei Ihnen aber zwei Bilder gezeigt werden. Ihre Aufgabe ist es, dasjenige Bild auszuw&auml;hlen, das das geh&ouml;rte Wort darstellt.</li> </ol><p>Wir bitten Sie um Ihre Zustimmung, bevor wir Ihre Daten sammeln und verwenden. Bitte klicken Sie auf den ""Start""-Button, um Ihre Zustimmung zu geben. Anschlie&szlig;end werden wir ein paar Fragen zu Ihren Sprachkenntnissen stellen. Danach k&ouml;nnen Sie das Experiment starten. </p></div>"
"survey-html-form","4","10110","0.0-4.0","c8ge","","","","","","2800","{""zustimmung"":""on""}",""
"survey-html-form","5","81678","0.0-5.0","c8ge","","","","","","71564","{""native"":""Englisch"",""AOL"":""25"",""LearnType5"":""classesabroad"",""which"":"""",""AOA"":""25"",""timespent"":""7 Jahre""}",""
"audio-button-response","6","86287","0.0-6.0-0.0","c8ge","","","","","","4470","0","audio_projekt/treffen1.wav"
"audio-button-response","7","87228","0.0-6.1-0.1","c8ge","","","","","","940","1","audio_projekt/treffen1.wav"
"html-keyboard-response","8","104475","0.0-7.0","c8ge","","","","","","17243","q","<h2>Teil 1: Unterscheidungsaufgabe</h2><div class=""myDiv""><p>In diesem Teil des Experimentes werden Sie im Abstand von 1.5 Sekunden <b>zwei W&ouml;rter</b> h&ouml;ren.</p><ul><li>Ihre Aufgabe ist es, festzustellen, ob diese W&ouml;rter <b>gleich oder unterschiedlich</b> sind. Wenn es einen Unterschied gibt, besteht dieser nur aus einem Vokal. </li> <li>Dr&uuml;cken Sie die <b>Taste Q</b>, wenn die W&ouml;rter gleich sind. Dr&uuml;cken Sie die <b>Taste P</b>, wenn die W&ouml;rter unterschiedlich sind.</li><li>Bitte warten Sie, bis Sie <b>beide Wörter gehört haben</b>, bevor Sie eine Taste drücken. Aber Achtung: Sie haben nur <b>5 Sekunden</b>, um eine Option auszuw&auml;hlen! &Uuml;berlegen Sie daher bitte nicht zu lange.</li></ul><br><p>Dr&uuml;cken Sie eine beliebige Taste, um ein paar Testversuche zu machen.</p></ul></div>"
"audio-keyboard-response","9","107734","0.0-8.0-0.0","c8ge","","","","","","null","null","audio_projekt/treffen1500triefen.wav"
"html-keyboard-response","10","107854","0.0-8.0-1.0","c8ge","","","","","","119","p","<div></div>"
"audio-keyboard-response","11","111705","0.0-8.0-0.1","c8ge","","","","","","null","null","audio_projekt/treffen1500treffen.wav"
"html-keyboard-response","12","111776","0.0-8.0-1.1","c8ge","","","","","","70","q","<div></div>"
"html-keyboard-response","13","114649","0.0-9.0","c8ge","","","","","","2072"," ","<p>Gut! Jetzt f&auml;ngt der erste Teil des Experiments an. Dieser Teil dauert ca. 10 Minuten.</p><br><p>Bitte dr&uuml;cken Sie eine beliebige Taste, um fortzufahren.<div style=""height:30px; width:100%""></div>"
"audio-keyboard-response","14","117394","0.0-10.0-0.0","c8ge","","","","","","null","null","audio_projekt/biene1500buehne.wav"
"html-keyboard-response","15","117879","0.0-10.0-1.0","c8ge","","","","","","484","p","<div></div>"
"audio-keyboard-response","16","121272","0.0-10.0-0.1","c8ge","","","","","","null","null","audio_projekt/tour1500tier.wav"
"html-keyboard-response","17","121455","0.0-10.0-1.1","c8ge","","","","","","183","p","<div></div>"
"audio-keyboard-response","18","125521","0.0-10.0-0.2","c8ge","","","","","","null","null","audio_projekt/segel1500segel.wav"
"html-keyboard-response","19","125687","0.0-10.0-1.2","c8ge","","","","","","165","q","<div></div>"
"audio-keyboard-response","20","129236","0.0-10.0-0.3","c8ge","","","","","","null","null","audio_projekt/biene1500biene.wav"
"html-keyboard-response","21","129486","0.0-10.0-1.3","c8ge","","","","","","249","q","<div></div>"
"audio-keyboard-response","22","133045","0.0-10.0-0.4","c8ge","","","","","","null","null","audio_projekt/buehne1500biene.wav"
"html-keyboard-response","23","133194","0.0-10.0-1.4","c8ge","","","","","","148","p","<div></div>"
"audio-keyboard-response","24","136853","0.0-10.0-0.5","c8ge","","","","","","null","null","audio_projekt/kiel1500kiel.wav"
"html-keyboard-response","25","137120","0.0-10.0-1.5","c8ge","","","","","","267","q","<div></div>"
"audio-keyboard-response","26","141334","0.0-10.0-0.6","c8ge","","","","","","null","null","audio_projekt/spulen1500spielen.wav"
"html-keyboard-response","27","141405","0.0-10.0-1.6","c8ge","","","","","","70","p","<div></div>"
"audio-keyboard-response","28","145375","0.0-10.0-0.7","c8ge","","","","","","null","null","audio_projekt/stiel1500stiel.wav"
"html-keyboard-response","29","145622","0.0-10.0-1.7","c8ge","","","","","","246","q","<div></div>"
"audio-keyboard-response","30","149810","0.0-10.0-0.8","c8ge","","","","","","null","null","audio_projekt/spuelen1500spielen.wav"
"html-keyboard-response","31","149992","0.0-10.0-1.8","c8ge","","","","","","181","p","<div></div>"
"audio-keyboard-response","32","153966","0.0-10.0-0.9","c8ge","","","","","","null","null","audio_projekt/stuhl1500stiel.wav"
"html-keyboard-response","33","154162","0.0-10.0-1.9","c8ge","","","","","","195","p","<div></div>"
"audio-keyboard-response","34","158332","0.0-10.0-0.10","c8ge","","","","","","null","null","audio_projekt/spielen1500spuelen.wav"
"html-keyboard-response","35","159142","0.0-10.0-1.10","c8ge","","","","","","810","p","<div></div>"
"audio-keyboard-response","36","162534","0.0-10.0-0.11","c8ge","","","","","","null","null","audio_projekt/tuer1500tour.wav"
"html-keyboard-response","37","163625","0.0-10.0-1.11","c8ge","","","","","","1090","p","<div></div>"
"audio-keyboard-response","38","167295","0.0-10.0-0.12","c8ge","","","","","","null","null","audio_projekt/kuehl1500kiel.wav"
"html-keyboard-response","39","167549","0.0-10.0-1.12","c8ge","","","","","","254","p","<div></div>"
"audio-keyboard-response","40","170778","0.0-10.0-0.13","c8ge","","","","","","null","null","audio_projekt/tour1500tier.wav"
"html-keyboard-response","41","170972","0.0-10.0-1.13","c8ge","","","","","","194","p","<div></div>"
"audio-keyboard-response","42","174633","0.0-10.0-0.14","c8ge","","","","","","null","null","audio_projekt/kiel1500kuehl.wav"
"html-keyboard-response","43","175086","0.0-10.0-1.14","c8ge","","","","","","452","p","<div></div>"
"audio-keyboard-response","44","178975","0.0-10.0-0.15","c8ge","","","","","","null","null","audio_projekt/segel1500segel.wav"
"html-keyboard-response","45","179194","0.0-10.0-1.15","c8ge","","","","","","219","q","<div></div>"
"audio-keyboard-response","46","182783","0.0-10.0-0.16","c8ge","","","","","","null","null","audio_projekt/blueten1500blueten.wav"
"html-keyboard-response","47","183087","0.0-10.0-1.16","c8ge","","","","","","303","q","<div></div>"
"audio-keyboard-response","48","186475","0.0-10.0-0.17","c8ge","","","","","","null","null","audio_projekt/tier1500tour.wav"
"html-keyboard-response","49","187316","0.0-10.0-1.17","c8ge","","","","","","840","p","<div></div>"
"audio-keyboard-response","50","190818","0.0-10.0-0.18","c8ge","","","","","","null","null","audio_projekt/kuehl1500kiel.wav"
"html-keyboard-response","51","191112","0.0-10.0-1.18","c8ge","","","","","","293","p","<div></div>"
"audio-keyboard-response","52","194765","0.0-10.0-0.19","c8ge","","","","","","null","null","audio_projekt/kuehl1500kuehl.wav"
"html-keyboard-response","53","194972","0.0-10.0-1.19","c8ge","","","","","","207","q","<div></div>"
"audio-keyboard-response","54","198573","0.0-10.0-0.20","c8ge","","","","","","null","null","audio_projekt/bluten1500blueten.wav"
"html-keyboard-response","55","198892","0.0-10.0-1.20","c8ge","","","","","","318","p","<div></div>"
"audio-keyboard-response","56","202614","0.0-10.0-0.21","c8ge","","","","","","null","null","audio_projekt/lieder1500leder.wav"
"html-keyboard-response","57","202833","0.0-10.0-1.21","c8ge","","","","","","218","p","<div></div>"
"audio-keyboard-response","58","206886","0.0-10.0-0.22","c8ge","","","","","","null","null","audio_projekt/spulen1500spielen.wav"
"html-keyboard-response","59","207070","0.0-10.0-1.22","c8ge","","","","","","183","p","<div></div>"
"audio-keyboard-response","60","211298","0.0-10.0-0.23","c8ge","","","","","","null","null","audio_projekt/spielen1500spulen.wav"
"html-keyboard-response","61","211325","0.0-10.0-1.23","c8ge","","","","","","26","p","<div></div>"
"audio-keyboard-response","62","215342","0.0-10.0-0.24","c8ge","","","","","","null","null","audio_projekt/spielen1500spuelen.wav"
"html-keyboard-response","63","215433","0.0-10.0-1.24","c8ge","","","","","","91","p","<div></div>"
"audio-keyboard-response","64","218822","0.0-10.0-0.25","c8ge","","","","","","null","null","audio_projekt/tour1500tour.wav"
"html-keyboard-response","65","219031","0.0-10.0-1.25","c8ge","","","","","","208","q","<div></div>"
"audio-keyboard-response","66","223001","0.0-10.0-0.26","c8ge","","","","","","null","null","audio_projekt/stuhl1500stuhl.wav"
"html-keyboard-response","67","223089","0.0-10.0-1.26","c8ge","","","","","","87","q","<div></div>"
"audio-keyboard-response","68","227158","0.0-10.0-0.27","c8ge","","","","","","null","null","audio_projekt/segel1500siegel.wav"
"html-keyboard-response","69","228161","0.0-10.0-1.27","c8ge","","","","","","1003","p","<div></div>"
"audio-keyboard-response","70","231407","0.0-10.0-0.28","c8ge","","","","","","null","null","audio_projekt/tuer1500tour.wav"
"html-keyboard-response","71","232523","0.0-10.0-1.28","c8ge","","","","","","1115","p","<div></div>"
"audio-keyboard-response","72","236702","0.0-10.0-0.29","c8ge","","","","","","null","null","audio_projekt/spielen1500spielen.wav"
"html-keyboard-response","73","237078","0.0-10.0-1.29","c8ge","","","","","","376","q","<div></div>"
"audio-keyboard-response","74","241044","0.0-10.0-0.30","c8ge","","","","","","null","null","audio_projekt/stiel1500stuhl.wav"
"html-keyboard-response","75","241126","0.0-10.0-1.30","c8ge","","","","","","82","p","<div></div>"
"audio-keyboard-response","76","245131","0.0-10.0-0.31","c8ge","","","","","","null","null","audio_projekt/spuelen1500spulen.wav"
"html-keyboard-response","77","245593","0.0-10.0-1.31","c8ge","","","","","","462","p","<div></div>"
"audio-keyboard-response","78","249659","0.0-10.0-0.32","c8ge","","","","","","null","null","audio_projekt/siegel1500siegel.wav"
"html-keyboard-response","79","250093","0.0-10.0-1.32","c8ge","","","","","","433","q","<div></div>"
"audio-keyboard-response","80","254280","0.0-10.0-0.33","c8ge","","","","","","null","null","audio_projekt/spuelen1500spuelen.wav"
"html-keyboard-response","81","254364","0.0-10.0-1.33","c8ge","","","","","","83","q","<div></div>"
"audio-keyboard-response","82","258436","0.0-10.0-0.34","c8ge","","","","","","null","null","audio_projekt/siegel1500segel.wav"
"html-keyboard-response","83","258439","0.0-10.0-1.34","c8ge","","","","","","2","p","<div></div>"
"audio-keyboard-response","84","261849","0.0-10.0-0.35","c8ge","","","","","","null","null","audio_projekt/tier1500tier.wav"
"html-keyboard-response","85","262385","0.0-10.0-1.35","c8ge","","","","","","535","q","<div></div>"
"audio-keyboard-response","86","265936","0.0-10.0-0.36","c8ge","","","","","","null","null","audio_projekt/buehne1500buehne.wav"
"html-keyboard-response","87","267036","0.0-10.0-1.36","c8ge","","","","","","1099","q","<div></div>"
"audio-keyboard-response","88","270743","0.0-10.0-0.37","c8ge","","","","","","null","null","audio_projekt/leder1500lieder.wav"
"html-keyboard-response","89","271535","0.0-10.0-1.37","c8ge","","","","","","792","p","<div></div>"
"audio-keyboard-response","90","275433","0.0-10.0-0.38","c8ge","","","","","","null","null","audio_projekt/segel1500siegel.wav"
"html-keyboard-response","91","276344","0.0-10.0-1.38","c8ge","","","","","","910","p","<div></div>"
"audio-keyboard-response","92","280356","0.0-10.0-0.39","c8ge","","","","","","null","null","audio_projekt/spulen1500spuelen.wav"
"html-keyboard-response","93","281280","0.0-10.0-1.39","c8ge","","","","","","923","p","<div></div>"
"audio-keyboard-response","94","285070","0.0-10.0-0.40","c8ge","","","","","","null","null","audio_projekt/stiel1500stuhl.wav"
"html-keyboard-response","95","285524","0.0-10.0-1.40","c8ge","","","","","","453","p","<div></div>"
"audio-keyboard-response","96","289226","0.0-10.0-0.41","c8ge","","","","","","null","null","audio_projekt/leder1500leder.wav"
"html-keyboard-response","97","289995","0.0-10.0-1.41","c8ge","","","","","","768","q","<div></div>"
"audio-keyboard-response","98","293848","0.0-10.0-0.42","c8ge","","","","","","null","null","audio_projekt/spuelen1500spulen.wav"
"html-keyboard-response","99","294704","0.0-10.0-1.42","c8ge","","","","","","856","p","<div></div>"
"audio-keyboard-response","100","298097","0.0-10.0-0.43","c8ge","","","","","","null","null","audio_projekt/tour1500tuer.wav"
"html-keyboard-response","101","299219","0.0-10.0-1.43","c8ge","","","","","","1122","p","<div></div>"
"audio-keyboard-response","102","302927","0.0-10.0-0.44","c8ge","","","","","","null","null","audio_projekt/lieder1500lieder.wav"
"html-keyboard-response","103","303836","0.0-10.0-1.44","c8ge","","","","","","908","q","<div></div>"
"audio-keyboard-response","104","307362","0.0-10.0-0.45","c8ge","","","","","","null","null","audio_projekt/leder1500leder.wav"
"html-keyboard-response","105","308108","0.0-10.0-1.45","c8ge","","","","","","745","q","<div></div>"
"audio-keyboard-response","106","311356","0.0-10.0-0.46","c8ge","","","","","","null","null","audio_projekt/tier1500tour.wav"
"html-keyboard-response","107","312276","0.0-10.0-1.46","c8ge","","","","","","919","p","<div></div>"
"audio-keyboard-response","108","315814","0.0-10.0-0.47","c8ge","","","","","","null","null","audio_projekt/lieder1500lieder.wav"
"html-keyboard-response","109","316381","0.0-10.0-1.47","c8ge","","","","","","566","q","<div></div>"
"audio-keyboard-response","110","320180","0.0-10.0-0.48","c8ge","","","","","","null","null","audio_projekt/stuhl1500stiel.wav"
"html-keyboard-response","111","320939","0.0-10.0-1.48","c8ge","","","","","","758","p","<div></div>"
"audio-keyboard-response","112","324174","0.0-10.0-0.49","c8ge","","","","","","null","null","audio_projekt/tier1500tier.wav"
"html-keyboard-response","113","325068","0.0-10.0-1.49","c8ge","","","","","","893","q","<div></div>"
"audio-keyboard-response","114","328911","0.0-10.0-0.50","c8ge","","","","","","null","null","audio_projekt/spulen1500spuelen.wav"
"html-keyboard-response","115","329629","0.0-10.0-1.50","c8ge","","","","","","718","p","<div></div>"
"audio-keyboard-response","116","333021","0.0-10.0-0.51","c8ge","","","","","","null","null","audio_projekt/buehne1500biene.wav"
"html-keyboard-response","117","334051","0.0-10.0-1.51","c8ge","","","","","","1030","p","<div></div>"
"audio-keyboard-response","118","338060","0.0-10.0-0.52","c8ge","","","","","","null","null","audio_projekt/spielen1500spielen.wav"
"html-keyboard-response","119","338912","0.0-10.0-1.52","c8ge","","","","","","851","q","<div></div>"
"audio-keyboard-response","120","342147","0.0-10.0-0.53","c8ge","","","","","","null","null","audio_projekt/tour1500tuer.wav"
"html-keyboard-response","121","342845","0.0-10.0-1.53","c8ge","","","","","","698","p","<div></div>"
