"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus"
"pavlovia","0","949","0.0-0.0","ch8m","","","","","","","",""
"preload","1","950","0.0-1.0","ch8m","true","false","[]","[]","[]","","",""
"survey-html-form","2","14237","0.0-2.0","ch8m","","","","","","13285","{""code"":""66cf40a29f72528d5f3c752e""}",""
"html-button-response","3","85383","0.0-3.0","ch8m","","","","","","71144","0","<h2>Willkommen zum Experiment!</h2><div class=""myDiv""><p>Vielen Dank f&uuml;r Ihr Interesse an dieser Studie. Wir bitten Sie <strong>Kopfh&ouml;rer</strong> daf&uuml;r zu verwenden.</p></div><div><img src=""pics/headphones.png"" title=""Earbuds are also fine"" width=""250"" height=""200"" class=""center""></div><div class=""myDiv""><p>Das Experiment besteht aus zwei Teilen:</p> <ol> <li>Eine <strong>Unterscheidungsaufgabe,</strong> in der Sie zwei W&ouml;rter h&ouml;ren. Im Anschluss sollen Sie feststellen, ob diese W&ouml;rter gleich oder unterschiedlich sind;</li><li>Eine <strong>Identifikationsaufgabe,</strong> in der Sie nur ein Wort h&ouml;ren, wobei Ihnen aber zwei Bilder gezeigt werden. Ihre Aufgabe ist es, dasjenige Bild auszuw&auml;hlen, das das geh&ouml;rte Wort darstellt.</li> </ol><p>Wir bitten Sie um Ihre Zustimmung, bevor wir Ihre Daten sammeln und verwenden. Bitte klicken Sie auf den ""Start""-Button, um Ihre Zustimmung zu geben. Anschlie&szlig;end werden wir ein paar Fragen zu Ihren Sprachkenntnissen stellen. Danach k&ouml;nnen Sie das Experiment starten. </p></div>"
"survey-html-form","4","112851","0.0-4.0","ch8m","","","","","","27467","{""zustimmung"":""on""}",""
"survey-html-form","5","347217","0.0-5.0","ch8m","","","","","","234362","{""native"":""Englisch"",""AOL"":""13 jahre alt"",""LearnType1"":""classeshome"",""LearnType2"":""selflearn"",""which"":""1. Schule."",""AOA"":""Nein, Ich habe nie auf deutschland wohnen"",""timespent"":""Ich habe nie auf einem deutschsprachign land wohnen""}",""
"audio-button-response","6","359917","0.0-6.0-0.0","ch8m","","","","","","11960","1","audio_projekt/treffen1.wav"
"html-keyboard-response","7","384481","0.0-7.0","ch8m","","","","","","24565","d","<h2>Teil 1: Unterscheidungsaufgabe</h2><div class=""myDiv""><p>In diesem Teil des Experimentes werden Sie im Abstand von 1.5 Sekunden <b>zwei W&ouml;rter</b> h&ouml;ren.</p><ul><li>Ihre Aufgabe ist es, festzustellen, ob diese W&ouml;rter <b>gleich oder unterschiedlich</b> sind. Wenn es einen Unterschied gibt, besteht dieser nur aus einem Vokal. </li> <li>Dr&uuml;cken Sie die <b>Taste Q</b>, wenn die W&ouml;rter gleich sind. Dr&uuml;cken Sie die <b>Taste P</b>, wenn die W&ouml;rter unterschiedlich sind.</li><li>Bitte warten Sie, bis Sie <b>beide Wörter gehört haben</b>, bevor Sie eine Taste drücken. Aber Achtung: Sie haben nur <b>5 Sekunden</b>, um eine Option auszuw&auml;hlen! &Uuml;berlegen Sie daher bitte nicht zu lange.</li></ul><br><p>Dr&uuml;cken Sie eine beliebige Taste, um ein paar Testversuche zu machen.</p></ul></div>"
"audio-keyboard-response","8","388158","0.0-8.0-0.0","ch8m","","","","","","null","null","audio_projekt/treffen1500triefen.wav"
"html-keyboard-response","9","390456","0.0-8.0-1.0","ch8m","","","","","","2297","p","<div></div>"
"audio-keyboard-response","10","394323","0.0-8.0-0.1","ch8m","","","","","","null","null","audio_projekt/treffen1500treffen.wav"
"html-keyboard-response","11","394644","0.0-8.0-1.1","ch8m","","","","","","320","q","<div></div>"
"html-keyboard-response","12","403190","0.0-9.0","ch8m","","","","","","7732","d","<p>Gut! Jetzt f&auml;ngt der erste Teil des Experiments an. Dieser Teil dauert ca. 10 Minuten.</p><br><p>Bitte dr&uuml;cken Sie eine beliebige Taste, um fortzufahren.<div style=""height:30px; width:100%""></div>"
"audio-keyboard-response","13","405907","0.0-10.0-0.0","ch8m","","","","","","null","null","audio_projekt/buehne1500buehne.wav"
"html-keyboard-response","14","406374","0.0-10.0-1.0","ch8m","","","","","","466","q","<div></div>"
"audio-keyboard-response","15","410579","0.0-10.0-0.1","ch8m","","","","","","null","null","audio_projekt/spulen1500spulen.wav"
"html-keyboard-response","16","410928","0.0-10.0-1.1","ch8m","","","","","","348","q","<div></div>"
"audio-keyboard-response","17","414525","0.0-10.0-0.2","ch8m","","","","","","null","null","audio_projekt/blueten1500blueten.wav"
"html-keyboard-response","18","414802","0.0-10.0-1.2","ch8m","","","","","","276","q","<div></div>"
"audio-keyboard-response","19","418323","0.0-10.0-0.3","ch8m","","","","","","null","null","audio_projekt/tour1500tuer.wav"
"html-keyboard-response","20","418824","0.0-10.0-1.3","ch8m","","","","","","500","p","<div></div>"
"audio-keyboard-response","21","422206","0.0-10.0-0.4","ch8m","","","","","","null","null","audio_projekt/tour1500tour.wav"
"html-keyboard-response","22","422456","0.0-10.0-1.4","ch8m","","","","","","249","q","<div></div>"
"audio-keyboard-response","23","426643","0.0-10.0-0.5","ch8m","","","","","","null","null","audio_projekt/spielen1500spielen.wav"
"html-keyboard-response","24","426922","0.0-10.0-1.5","ch8m","","","","","","278","q","<div></div>"
"audio-keyboard-response","25","430611","0.0-10.0-0.6","ch8m","","","","","","null","null","audio_projekt/lieder1500lieder.wav"
"html-keyboard-response","26","431150","0.0-10.0-1.6","ch8m","","","","","","538","q","<div></div>"
"audio-keyboard-response","27","435496","0.0-10.0-0.7","ch8m","","","","","","null","null","audio_projekt/spuelen1500spielen.wav"
"html-keyboard-response","28","435636","0.0-10.0-1.7","ch8m","","","","","","139","p","<div></div>"
"audio-keyboard-response","29","438867","0.0-10.0-0.8","ch8m","","","","","","null","null","audio_projekt/tour1500tour.wav"
"html-keyboard-response","30","439496","0.0-10.0-1.8","ch8m","","","","","","628","q","<div></div>"
"audio-keyboard-response","31","443201","0.0-10.0-0.9","ch8m","","","","","","null","null","audio_projekt/leder1500leder.wav"
"html-keyboard-response","32","443563","0.0-10.0-1.9","ch8m","","","","","","362","q","<div></div>"
"audio-keyboard-response","33","447254","0.0-10.0-0.10","ch8m","","","","","","null","null","audio_projekt/lieder1500leder.wav"
"html-keyboard-response","34","447711","0.0-10.0-1.10","ch8m","","","","","","456","p","<div></div>"
"audio-keyboard-response","35","451072","0.0-10.0-0.11","ch8m","","","","","","null","null","audio_projekt/tuer1500tour.wav"
"html-keyboard-response","36","452261","0.0-10.0-1.11","ch8m","","","","","","1188","p","<div></div>"
"audio-keyboard-response","37","455830","0.0-10.0-0.12","ch8m","","","","","","null","null","audio_projekt/blueten1500bluten.wav"
"html-keyboard-response","38","456299","0.0-10.0-1.12","ch8m","","","","","","469","p","<div></div>"
"audio-keyboard-response","39","460268","0.0-10.0-0.13","ch8m","","","","","","null","null","audio_projekt/stiel1500stiel.wav"
"html-keyboard-response","40","460763","0.0-10.0-1.13","ch8m","","","","","","495","q","<div></div>"
