"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus"
"pavlovia","0","567","0.0-0.0","h04g","","","","","","","",""
"preload","1","567","0.0-1.0","h04g","true","false","[]","[]","[]","","",""
"survey-html-form","2","4219","0.0-2.0","h04g","","","","","","3651","{""code"":""5ea66a5c2b2466678f97bcdf""}",""
"html-button-response","3","6265","0.0-3.0","h04g","","","","","","2043","0","<h2>Willkommen zum Experiment!</h2><div class=""myDiv""><p>Vielen Dank f&uuml;r Ihr Interesse an dieser Studie. Wir bitten Sie <strong>Kopfh&ouml;rer</strong> daf&uuml;r zu verwenden.</p></div><div><img src=""pics/headphones.png"" title=""Earbuds are also fine"" width=""250"" height=""200"" class=""center""></div><div class=""myDiv""><p>Das Experiment besteht aus zwei Teilen:</p> <ol> <li>Eine <strong>Unterscheidungsaufgabe,</strong> in der Sie zwei W&ouml;rter h&ouml;ren. Im Anschluss sollen Sie feststellen, ob diese W&ouml;rter gleich oder unterschiedlich sind;</li><li>Eine <strong>Identifikationsaufgabe,</strong> in der Sie nur ein Wort h&ouml;ren, wobei Ihnen aber zwei Bilder gezeigt werden. Ihre Aufgabe ist es, dasjenige Bild auszuw&auml;hlen, das das geh&ouml;rte Wort darstellt.</li> </ol><p>Wir bitten Sie um Ihre Zustimmung, bevor wir Ihre Daten sammeln und verwenden. Bitte klicken Sie auf den ""Start""-Button, um Ihre Zustimmung zu geben. Anschlie&szlig;end werden wir ein paar Fragen zu Ihren Sprachkenntnissen stellen. Danach k&ouml;nnen Sie das Experiment starten. </p></div>"
"survey-html-form","4","13100","0.0-4.0","h04g","","","","","","6834","{""zustimmung"":""on""}",""
"survey-html-form","5","37118","0.0-5.0","h04g","","","","","","24016","{""native"":""Englisch"",""AOL"":""18"",""LearnType5"":""classesabroad"",""which"":"""",""AOA"":""18"",""timespent"":""12 J""}",""
"audio-button-response","6","40633","0.0-6.0-0.0","h04g","","","","","","3257","1","audio_projekt/treffen1.wav"
"html-keyboard-response","7","42337","0.0-7.0","h04g","","","","","","1701","enter","<h2>Teil 1: Unterscheidungsaufgabe</h2><div class=""myDiv""><p>In diesem Teil des Experimentes werden Sie im Abstand von 1.5 Sekunden <b>zwei W&ouml;rter</b> h&ouml;ren.</p><ul><li>Ihre Aufgabe ist es, festzustellen, ob diese W&ouml;rter <b>gleich oder unterschiedlich</b> sind. Wenn es einen Unterschied gibt, besteht dieser nur aus einem Vokal. </li> <li>Dr&uuml;cken Sie die <b>Taste Q</b>, wenn die W&ouml;rter gleich sind. Dr&uuml;cken Sie die <b>Taste P</b>, wenn die W&ouml;rter unterschiedlich sind.</li><li>Bitte warten Sie, bis Sie <b>beide Wörter gehört haben</b>, bevor Sie eine Taste drücken. Aber Achtung: Sie haben nur <b>5 Sekunden</b>, um eine Option auszuw&auml;hlen! &Uuml;berlegen Sie daher bitte nicht zu lange.</li></ul><br><p>Dr&uuml;cken Sie eine beliebige Taste, um ein paar Testversuche zu machen.</p></ul></div>"
"audio-keyboard-response","8","45958","0.0-8.0-0.0","h04g","","","","","","null","null","audio_projekt/treffen1500triefen.wav"
"html-keyboard-response","9","46256","0.0-8.0-1.0","h04g","","","","","","297","p","<div></div>"
"audio-keyboard-response","10","50564","0.0-8.0-0.1","h04g","","","","","","null","null","audio_projekt/treffen1500treffen.wav"
"html-keyboard-response","11","51008","0.0-8.0-1.1","h04g","","","","","","444","q","<div></div>"
"html-keyboard-response","12","54797","0.0-9.0","h04g","","","","","","2986","enter","<p>Gut! Jetzt f&auml;ngt der erste Teil des Experiments an. Dieser Teil dauert ca. 10 Minuten.</p><br><p>Bitte dr&uuml;cken Sie eine beliebige Taste, um fortzufahren.<div style=""height:30px; width:100%""></div>"
"audio-keyboard-response","13","57904","0.0-10.0-0.0","h04g","","","","","","null","null","audio_projekt/biene1500biene.wav"
"html-keyboard-response","14","58326","0.0-10.0-1.0","h04g","","","","","","420","q","<div></div>"
"audio-keyboard-response","15","62427","0.0-10.0-0.1","h04g","","","","","","null","null","audio_projekt/leder1500leder.wav"
"html-keyboard-response","16","62663","0.0-10.0-1.1","h04g","","","","","","236","q","<div></div>"
"audio-keyboard-response","17","67120","0.0-10.0-0.2","h04g","","","","","","null","null","audio_projekt/spuelen1500spulen.wav"
"html-keyboard-response","18","67321","0.0-10.0-1.2","h04g","","","","","","200","p","<div></div>"
"audio-keyboard-response","19","71214","0.0-10.0-0.3","h04g","","","","","","null","null","audio_projekt/tour1500tour.wav"
"html-keyboard-response","20","71661","0.0-10.0-1.3","h04g","","","","","","447","q","<div></div>"
