"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus"
"pavlovia","0","565","0.0-0.0","nw43","","","","","","","",""
"preload","1","565","0.0-1.0","nw43","true","false","[]","[]","[]","","",""
"survey-html-form","2","6842","0.0-2.0","nw43","","","","","","6277","{""code"":""66cdeab6f33b221365775640""}",""
"html-button-response","3","30842","0.0-3.0","nw43","","","","","","23998","0","<h2>Willkommen zum Experiment!</h2><div class=""myDiv""><p>Vielen Dank f&uuml;r Ihr Interesse an dieser Studie. Wir bitten Sie <strong>Kopfh&ouml;rer</strong> daf&uuml;r zu verwenden.</p></div><div><img src=""pics/headphones.png"" title=""Earbuds are also fine"" width=""250"" height=""200"" class=""center""></div><div class=""myDiv""><p>Das Experiment besteht aus zwei Teilen:</p> <ol> <li>Eine <strong>Unterscheidungsaufgabe,</strong> in der Sie zwei W&ouml;rter h&ouml;ren. Im Anschluss sollen Sie feststellen, ob diese W&ouml;rter gleich oder unterschiedlich sind;</li><li>Eine <strong>Identifikationsaufgabe,</strong> in der Sie nur ein Wort h&ouml;ren, wobei Ihnen aber zwei Bilder gezeigt werden. Ihre Aufgabe ist es, dasjenige Bild auszuw&auml;hlen, das das geh&ouml;rte Wort darstellt.</li> </ol><p>Wir bitten Sie um Ihre Zustimmung, bevor wir Ihre Daten sammeln und verwenden. Bitte klicken Sie auf den ""Start""-Button, um Ihre Zustimmung zu geben. Anschlie&szlig;end werden wir ein paar Fragen zu Ihren Sprachkenntnissen stellen. Danach k&ouml;nnen Sie das Experiment starten. </p></div>"
"survey-html-form","4","59738","0.0-4.0","nw43","","","","","","28894","{""zustimmung"":""on""}",""
"survey-html-form","5","125171","0.0-5.0","nw43","","","","","","65430","{""native"":""Englisch"",""AOL"":""11"",""LearnType1"":""classeshome"",""LearnType2"":""selflearn"",""LearnType3"":""lgeschool"",""LearnType4"":""uni"",""LearnType5"":""classesabroad"",""which"":""Als ich in Deutschland wohnte und studierte"",""AOA"":""21"",""timespent"":""12 Monaten""}",""
"audio-button-response","6","131065","0.0-6.0-0.0","nw43","","","","","","5782","0","audio_projekt/treffen1.wav"
"audio-button-response","7","132746","0.0-6.1-0.1","nw43","","","","","","1678","0","audio_projekt/treffen1.wav"
"audio-button-response","8","133865","0.0-6.2-0.2","nw43","","","","","","1118","0","audio_projekt/treffen1.wav"
"audio-button-response","9","135090","0.0-6.3-0.3","nw43","","","","","","1224","1","audio_projekt/treffen1.wav"
"html-keyboard-response","10","161273","0.0-7.0","nw43","","","","","","26181","q","<h2>Teil 1: Unterscheidungsaufgabe</h2><div class=""myDiv""><p>In diesem Teil des Experimentes werden Sie im Abstand von 1.5 Sekunden <b>zwei W&ouml;rter</b> h&ouml;ren.</p><ul><li>Ihre Aufgabe ist es, festzustellen, ob diese W&ouml;rter <b>gleich oder unterschiedlich</b> sind. Wenn es einen Unterschied gibt, besteht dieser nur aus einem Vokal. </li> <li>Dr&uuml;cken Sie die <b>Taste Q</b>, wenn die W&ouml;rter gleich sind. Dr&uuml;cken Sie die <b>Taste P</b>, wenn die W&ouml;rter unterschiedlich sind.</li><li>Bitte warten Sie, bis Sie <b>beide Wörter gehört haben</b>, bevor Sie eine Taste drücken. Aber Achtung: Sie haben nur <b>5 Sekunden</b>, um eine Option auszuw&auml;hlen! &Uuml;berlegen Sie daher bitte nicht zu lange.</li></ul><br><p>Dr&uuml;cken Sie eine beliebige Taste, um ein paar Testversuche zu machen.</p></ul></div>"
"audio-keyboard-response","11","164964","0.0-8.0-0.0","nw43","","","","","","null","null","audio_projekt/treffen1500triefen.wav"
"html-keyboard-response","12","165519","0.0-8.0-1.0","nw43","","","","","","553","p","<div></div>"
"audio-keyboard-response","13","169278","0.0-8.0-0.1","nw43","","","","","","null","null","audio_projekt/treffen1500treffen.wav"
"html-keyboard-response","14","169878","0.0-8.0-1.1","nw43","","","","","","598","q","<div></div>"
"html-keyboard-response","15","994922","0.0-9.0","nw43","","","","","","824236","p","<p>Gut! Jetzt f&auml;ngt der erste Teil des Experiments an. Dieser Teil dauert ca. 10 Minuten.</p><br><p>Bitte dr&uuml;cken Sie eine beliebige Taste, um fortzufahren.<div style=""height:30px; width:100%""></div>"
"audio-keyboard-response","16","998109","0.0-10.0-0.0","nw43","","","","","","null","null","audio_projekt/spulen1500spuelen.wav"
"html-keyboard-response","17","1000884","0.0-10.0-1.0","nw43","","","","","","2773","q","<div></div>"
"audio-keyboard-response","18","1004449","0.0-10.0-0.1","nw43","","","","","","null","null","audio_projekt/lieder1500leder.wav"
"html-keyboard-response","19","1005995","0.0-10.0-1.1","nw43","","","","","","1546","p","<div></div>"
"audio-keyboard-response","20","1009954","0.0-10.0-0.2","nw43","","","","","","null","null","audio_projekt/segel1500segel.wav"
"html-keyboard-response","21","1010515","0.0-10.0-1.2","nw43","","","","","","559","q","<div></div>"
"audio-keyboard-response","22","1014066","0.0-10.0-0.3","nw43","","","","","","null","null","audio_projekt/kuehl1500kuehl.wav"
"html-keyboard-response","23","1016852","0.0-10.0-1.3","nw43","","","","","","2786","p","<div></div>"
"audio-keyboard-response","24","1020808","0.0-10.0-0.4","nw43","","","","","","null","null","audio_projekt/segel1500siegel.wav"
"html-keyboard-response","25","1021097","0.0-10.0-1.4","nw43","","","","","","286","p","<div></div>"
"audio-keyboard-response","26","1024587","0.0-10.0-0.5","nw43","","","","","","null","null","audio_projekt/kuehl1500kuehl.wav"
"html-keyboard-response","27","1025026","0.0-10.0-1.5","nw43","","","","","","438","q","<div></div>"
"audio-keyboard-response","28","1028463","0.0-10.0-0.6","nw43","","","","","","null","null","audio_projekt/buehne1500biene.wav"
"html-keyboard-response","29","1028611","0.0-10.0-1.6","nw43","","","","","","147","p","<div></div>"
"audio-keyboard-response","30","1032725","0.0-10.0-0.7","nw43","","","","","","null","null","audio_projekt/spulen1500spielen.wav"
"html-keyboard-response","31","1032842","0.0-10.0-1.7","nw43","","","","","","115","p","<div></div>"
"audio-keyboard-response","32","1036338","0.0-10.0-0.8","nw43","","","","","","null","null","audio_projekt/blueten1500blueten.wav"
"html-keyboard-response","33","1038254","0.0-10.0-1.8","nw43","","","","","","1915","p","<div></div>"
"audio-keyboard-response","34","1042203","0.0-10.0-0.9","nw43","","","","","","null","null","audio_projekt/siegel1500siegel.wav"
"html-keyboard-response","35","1042916","0.0-10.0-1.9","nw43","","","","","","713","q","<div></div>"
"audio-keyboard-response","36","1046342","0.0-10.0-0.10","nw43","","","","","","null","null","audio_projekt/biene1500buehne.wav"
"html-keyboard-response","37","1046805","0.0-10.0-1.10","nw43","","","","","","462","p","<div></div>"
"audio-keyboard-response","38","1050304","0.0-10.0-0.11","nw43","","","","","","null","null","audio_projekt/bluten1500bluten.wav"
"html-keyboard-response","39","1050676","0.0-10.0-1.11","nw43","","","","","","371","q","<div></div>"
"audio-keyboard-response","40","1053979","0.0-10.0-0.12","nw43","","","","","","null","null","audio_projekt/tour1500tuer.wav"
"html-keyboard-response","41","1054915","0.0-10.0-1.12","nw43","","","","","","935","p","<div></div>"
"audio-keyboard-response","42","1058776","0.0-10.0-0.13","nw43","","","","","","null","null","audio_projekt/stuhl1500stiel.wav"
"html-keyboard-response","43","1058898","0.0-10.0-1.13","nw43","","","","","","121","p","<div></div>"
"audio-keyboard-response","44","1062441","0.0-10.0-0.14","nw43","","","","","","null","null","audio_projekt/kiel1500kiel.wav"
"html-keyboard-response","45","1063439","0.0-10.0-1.14","nw43","","","","","","997","q","<div></div>"
"audio-keyboard-response","46","1067027","0.0-10.0-0.15","nw43","","","","","","null","null","audio_projekt/leder1500lieder.wav"
"html-keyboard-response","47","1067205","0.0-10.0-1.15","nw43","","","","","","178","p","<div></div>"
"audio-keyboard-response","48","1071079","0.0-10.0-0.16","nw43","","","","","","null","null","audio_projekt/segel1500siegel.wav"
"html-keyboard-response","49","1071264","0.0-10.0-1.16","nw43","","","","","","184","p","<div></div>"
"audio-keyboard-response","50","1075131","0.0-10.0-0.17","nw43","","","","","","null","null","audio_projekt/stuhl1500stuhl.wav"
"html-keyboard-response","51","1075362","0.0-10.0-1.17","nw43","","","","","","231","q","<div></div>"
"audio-keyboard-response","52","1078912","0.0-10.0-0.18","nw43","","","","","","null","null","audio_projekt/kiel1500kuehl.wav"
"html-keyboard-response","53","1079299","0.0-10.0-1.18","nw43","","","","","","386","p","<div></div>"
"audio-keyboard-response","54","1082627","0.0-10.0-0.19","nw43","","","","","","null","null","audio_projekt/tour1500tuer.wav"
"html-keyboard-response","55","1083360","0.0-10.0-1.19","nw43","","","","","","730","p","<div></div>"
"audio-keyboard-response","56","1087219","0.0-10.0-0.20","nw43","","","","","","null","null","audio_projekt/stiel1500stuhl.wav"
"html-keyboard-response","57","1087516","0.0-10.0-1.20","nw43","","","","","","296","p","<div></div>"
"audio-keyboard-response","58","1091360","0.0-10.0-0.21","nw43","","","","","","null","null","audio_projekt/spulen1500spuelen.wav"
"html-keyboard-response","59","1092373","0.0-10.0-1.21","nw43","","","","","","1012","p","<div></div>"
"audio-keyboard-response","60","1095808","0.0-10.0-0.22","nw43","","","","","","null","null","audio_projekt/biene1500biene.wav"
"html-keyboard-response","61","1096584","0.0-10.0-1.22","nw43","","","","","","775","q","<div></div>"
"audio-keyboard-response","62","1100662","0.0-10.0-0.23","nw43","","","","","","null","null","audio_projekt/spuelen1500spielen.wav"
"html-keyboard-response","63","1100752","0.0-10.0-1.23","nw43","","","","","","88","p","<div></div>"
"audio-keyboard-response","64","1104867","0.0-10.0-0.24","nw43","","","","","","null","null","audio_projekt/spulen1500spulen.wav"
"html-keyboard-response","65","1104956","0.0-10.0-1.24","nw43","","","","","","87","q","<div></div>"
"audio-keyboard-response","66","1109023","0.0-10.0-0.25","nw43","","","","","","null","null","audio_projekt/spuelen1500spuelen.wav"
"html-keyboard-response","67","1109278","0.0-10.0-1.25","nw43","","","","","","254","q","<div></div>"
"audio-keyboard-response","68","1113066","0.0-10.0-0.26","nw43","","","","","","null","null","audio_projekt/stuhl1500stuhl.wav"
"html-keyboard-response","69","1113353","0.0-10.0-1.26","nw43","","","","","","286","q","<div></div>"
"audio-keyboard-response","70","1117428","0.0-10.0-0.27","nw43","","","","","","null","null","audio_projekt/spielen1500spielen.wav"
"html-keyboard-response","71","1117568","0.0-10.0-1.27","nw43","","","","","","139","q","<div></div>"
"audio-keyboard-response","72","1121004","0.0-10.0-0.28","nw43","","","","","","null","null","audio_projekt/buehne1500buehne.wav"
"html-keyboard-response","73","1121791","0.0-10.0-1.28","nw43","","","","","","787","q","<div></div>"
"audio-keyboard-response","74","1125683","0.0-10.0-0.29","nw43","","","","","","null","null","audio_projekt/segel1500segel.wav"
"html-keyboard-response","75","1126019","0.0-10.0-1.29","nw43","","","","","","335","q","<div></div>"
"audio-keyboard-response","76","1129883","0.0-10.0-0.30","nw43","","","","","","null","null","audio_projekt/stiel1500stiel.wav"
"html-keyboard-response","77","1130262","0.0-10.0-1.30","nw43","","","","","","378","q","<div></div>"
"audio-keyboard-response","78","1134271","0.0-10.0-0.31","nw43","","","","","","null","null","audio_projekt/spielen1500spielen.wav"
"html-keyboard-response","79","1134526","0.0-10.0-1.31","nw43","","","","","","254","q","<div></div>"
"audio-keyboard-response","80","1138059","0.0-10.0-0.32","nw43","","","","","","null","null","audio_projekt/leder1500lieder.wav"
"html-keyboard-response","81","1138799","0.0-10.0-1.32","nw43","","","","","","740","p","<div></div>"
