"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus"
"pavlovia","0","660","0.0-0.0","r3ay","","","","","","","",""
"preload","1","662","0.0-1.0","r3ay","true","false","[]","[]","[]","","",""
"survey-html-form","2","5029","0.0-2.0","r3ay","","","","","","4362","{""code"":""5d59c7443c67ba00157345d0""}",""
"html-button-response","3","34855","0.0-3.0","r3ay","","","","","","29821","0","<h2>Willkommen zum Experiment!</h2><div class=""myDiv""><p>Vielen Dank f&uuml;r Ihr Interesse an dieser Studie. Wir bitten Sie <strong>Kopfh&ouml;rer</strong> daf&uuml;r zu verwenden.</p></div><div><img src=""pics/headphones.png"" title=""Earbuds are also fine"" width=""250"" height=""200"" class=""center""></div><div class=""myDiv""><p>Das Experiment besteht aus zwei Teilen:</p> <ol> <li>Eine <strong>Unterscheidungsaufgabe,</strong> in der Sie zwei W&ouml;rter h&ouml;ren. Im Anschluss sollen Sie feststellen, ob diese W&ouml;rter gleich oder unterschiedlich sind;</li><li>Eine <strong>Identifikationsaufgabe,</strong> in der Sie nur ein Wort h&ouml;ren, wobei Ihnen aber zwei Bilder gezeigt werden. Ihre Aufgabe ist es, dasjenige Bild auszuw&auml;hlen, das das geh&ouml;rte Wort darstellt.</li> </ol><p>Wir bitten Sie um Ihre Zustimmung, bevor wir Ihre Daten sammeln und verwenden. Bitte klicken Sie auf den ""Start""-Button, um Ihre Zustimmung zu geben. Anschlie&szlig;end werden wir ein paar Fragen zu Ihren Sprachkenntnissen stellen. Danach k&ouml;nnen Sie das Experiment starten. </p></div>"
"survey-html-form","4","39723","0.0-4.0","r3ay","","","","","","4864","{""zustimmung"":""on""}",""
"survey-html-form","5","173204","0.0-5.0","r3ay","","","","","","133477","{""native"":""Englisch"",""AOL"":""13"",""LearnType1"":""classeshome"",""LearnType2"":""selflearn"",""LearnType4"":""uni"",""LearnType6"":""immersion"",""which"":""Sprache durch Immersion"",""AOA"":""21"",""timespent"":""1 jahr""}",""
"audio-button-response","6","179307","0.0-6.0-0.0","r3ay","","","","","","5960","0","audio_projekt/treffen1.wav"
"audio-button-response","7","180362","0.0-6.1-0.1","r3ay","","","","","","1050","1","audio_projekt/treffen1.wav"
"html-keyboard-response","8","199781","0.0-7.0","r3ay","","","","","","19415"," ","<h2>Teil 1: Unterscheidungsaufgabe</h2><div class=""myDiv""><p>In diesem Teil des Experimentes werden Sie im Abstand von 1.5 Sekunden <b>zwei W&ouml;rter</b> h&ouml;ren.</p><ul><li>Ihre Aufgabe ist es, festzustellen, ob diese W&ouml;rter <b>gleich oder unterschiedlich</b> sind. Wenn es einen Unterschied gibt, besteht dieser nur aus einem Vokal. </li> <li>Dr&uuml;cken Sie die <b>Taste Q</b>, wenn die W&ouml;rter gleich sind. Dr&uuml;cken Sie die <b>Taste P</b>, wenn die W&ouml;rter unterschiedlich sind.</li><li>Bitte warten Sie, bis Sie <b>beide Wörter gehört haben</b>, bevor Sie eine Taste drücken. Aber Achtung: Sie haben nur <b>5 Sekunden</b>, um eine Option auszuw&auml;hlen! &Uuml;berlegen Sie daher bitte nicht zu lange.</li></ul><br><p>Dr&uuml;cken Sie eine beliebige Taste, um ein paar Testversuche zu machen.</p></ul></div>"
"audio-keyboard-response","9","203028","0.0-8.0-0.0","r3ay","","","","","","null","null","audio_projekt/treffen1500triefen.wav"
"html-keyboard-response","10","204148","0.0-8.0-1.0","r3ay","","","","","","1118","p","<div></div>"
"audio-keyboard-response","11","208135","0.0-8.0-0.1","r3ay","","","","","","null","null","audio_projekt/treffen1500treffen.wav"
"html-keyboard-response","12","208261","0.0-8.0-1.1","r3ay","","","","","","125","q","<div></div>"
"html-keyboard-response","13","211586","0.0-9.0","r3ay","","","","","","2523"," ","<p>Gut! Jetzt f&auml;ngt der erste Teil des Experiments an. Dieser Teil dauert ca. 10 Minuten.</p><br><p>Bitte dr&uuml;cken Sie eine beliebige Taste, um fortzufahren.<div style=""height:30px; width:100%""></div>"
"audio-keyboard-response","14","214544","0.0-10.0-0.0","r3ay","","","","","","null","null","audio_projekt/buehne1500biene.wav"
"html-keyboard-response","15","215239","0.0-10.0-1.0","r3ay","","","","","","694","p","<div></div>"
"audio-keyboard-response","16","218723","0.0-10.0-0.1","r3ay","","","","","","null","null","audio_projekt/tuer1500tour.wav"
"html-keyboard-response","17","219399","0.0-10.0-1.1","r3ay","","","","","","674","p","<div></div>"
"audio-keyboard-response","18","223089","0.0-10.0-0.2","r3ay","","","","","","null","null","audio_projekt/blueten1500blueten.wav"
