"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus"
"pavlovia","0","794","0.0-0.0","rkoq","","","","","","","",""
"preload","1","795","0.0-1.0","rkoq","true","false","[]","[]","[]","","",""
"survey-html-form","2","17117","0.0-2.0","rkoq","","","","","","16320","{""code"":""6672d80db5976c83ec699f3a""}",""
"html-button-response","3","103429","0.0-3.0","rkoq","","","","","","86309","0","<h2>Willkommen zum Experiment!</h2><div class=""myDiv""><p>Vielen Dank f&uuml;r Ihr Interesse an dieser Studie. Wir bitten Sie <strong>Kopfh&ouml;rer</strong> daf&uuml;r zu verwenden.</p></div><div><img src=""pics/headphones.png"" title=""Earbuds are also fine"" width=""250"" height=""200"" class=""center""></div><div class=""myDiv""><p>Das Experiment besteht aus zwei Teilen:</p> <ol> <li>Eine <strong>Unterscheidungsaufgabe,</strong> in der Sie zwei W&ouml;rter h&ouml;ren. Im Anschluss sollen Sie feststellen, ob diese W&ouml;rter gleich oder unterschiedlich sind;</li><li>Eine <strong>Identifikationsaufgabe,</strong> in der Sie nur ein Wort h&ouml;ren, wobei Ihnen aber zwei Bilder gezeigt werden. Ihre Aufgabe ist es, dasjenige Bild auszuw&auml;hlen, das das geh&ouml;rte Wort darstellt.</li> </ol><p>Wir bitten Sie um Ihre Zustimmung, bevor wir Ihre Daten sammeln und verwenden. Bitte klicken Sie auf den ""Start""-Button, um Ihre Zustimmung zu geben. Anschlie&szlig;end werden wir ein paar Fragen zu Ihren Sprachkenntnissen stellen. Danach k&ouml;nnen Sie das Experiment starten. </p></div>"
"survey-html-form","4","117905","0.0-4.0","rkoq","","","","","","14474","{""zustimmung"":""on""}",""
"survey-html-form","5","252004","0.0-5.0","rkoq","","","","","","134075","{""native"":""Englisch"",""AOL"":""12"",""LearnType3"":""lgeschool"",""LearnType4"":""uni"",""LearnType6"":""immersion"",""which"":""ich bin in ein deutschsprachiges Land gezogen"",""AOA"":""18"",""timespent"":""2 Jahre""}",""
"audio-button-response","6","261133","0.0-6.0-0.0","rkoq","","","","","","8840","0","audio_projekt/treffen1.wav"
"audio-button-response","7","265691","0.0-6.1-0.1","rkoq","","","","","","4557","1","audio_projekt/treffen1.wav"
"html-keyboard-response","8","294109","0.0-7.0","rkoq","","","","","","28416","p","<h2>Teil 1: Unterscheidungsaufgabe</h2><div class=""myDiv""><p>In diesem Teil des Experimentes werden Sie im Abstand von 1.5 Sekunden <b>zwei W&ouml;rter</b> h&ouml;ren.</p><ul><li>Ihre Aufgabe ist es, festzustellen, ob diese W&ouml;rter <b>gleich oder unterschiedlich</b> sind. Wenn es einen Unterschied gibt, besteht dieser nur aus einem Vokal. </li> <li>Dr&uuml;cken Sie die <b>Taste Q</b>, wenn die W&ouml;rter gleich sind. Dr&uuml;cken Sie die <b>Taste P</b>, wenn die W&ouml;rter unterschiedlich sind.</li><li>Bitte warten Sie, bis Sie <b>beide Wörter gehört haben</b>, bevor Sie eine Taste drücken. Aber Achtung: Sie haben nur <b>5 Sekunden</b>, um eine Option auszuw&auml;hlen! &Uuml;berlegen Sie daher bitte nicht zu lange.</li></ul><br><p>Dr&uuml;cken Sie eine beliebige Taste, um ein paar Testversuche zu machen.</p></ul></div>"
"audio-keyboard-response","9","297344","0.0-8.0-0.0","rkoq","","","","","","null","null","audio_projekt/treffen1500triefen.wav"
"html-keyboard-response","10","298519","0.0-8.0-1.0","rkoq","","","","","","1174","p","<div></div>"
"audio-keyboard-response","11","302367","0.0-8.0-0.1","rkoq","","","","","","null","null","audio_projekt/treffen1500treffen.wav"
"html-keyboard-response","12","302979","0.0-8.0-1.1","rkoq","","","","","","611","q","<div></div>"
"html-keyboard-response","13","309122","0.0-9.0","rkoq","","","","","","5327","p","<p>Gut! Jetzt f&auml;ngt der erste Teil des Experiments an. Dieser Teil dauert ca. 10 Minuten.</p><br><p>Bitte dr&uuml;cken Sie eine beliebige Taste, um fortzufahren.<div style=""height:30px; width:100%""></div>"
"audio-keyboard-response","14","312338","0.0-10.0-0.0","rkoq","","","","","","null","null","audio_projekt/segel1500siegel.wav"
"html-keyboard-response","15","313338","0.0-10.0-1.0","rkoq","","","","","","1000","p","<div></div>"
"audio-keyboard-response","16","317383","0.0-10.0-0.1","rkoq","","","","","","null","null","audio_projekt/siegel1500siegel.wav"
"html-keyboard-response","17","317791","0.0-10.0-1.1","rkoq","","","","","","407","q","<div></div>"
"audio-keyboard-response","18","321429","0.0-10.0-0.2","rkoq","","","","","","null","null","audio_projekt/kiel1500kuehl.wav"
"html-keyboard-response","19","322061","0.0-10.0-1.2","rkoq","","","","","","631","p","<div></div>"
"audio-keyboard-response","20","326246","0.0-10.0-0.3","rkoq","","","","","","null","null","audio_projekt/spuelen1500spuelen.wav"
"html-keyboard-response","21","326551","0.0-10.0-1.3","rkoq","","","","","","300","q","<div></div>"
"audio-keyboard-response","22","330108","0.0-10.0-0.4","rkoq","","","","","","null","null","audio_projekt/blueten1500blueten.wav"
"html-keyboard-response","23","330941","0.0-10.0-1.4","rkoq","","","","","","831","q","<div></div>"
"audio-keyboard-response","24","334571","0.0-10.0-0.5","rkoq","","","","","","null","null","audio_projekt/kuehl1500kiel.wav"
"html-keyboard-response","25","334999","0.0-10.0-1.5","rkoq","","","","","","427","p","<div></div>"
"audio-keyboard-response","26","339190","0.0-10.0-0.6","rkoq","","","","","","null","null","audio_projekt/spielen1500spulen.wav"
"html-keyboard-response","27","339531","0.0-10.0-1.6","rkoq","","","","","","338","p","<div></div>"
"audio-keyboard-response","28","342894","0.0-10.0-0.7","rkoq","","","","","","null","null","audio_projekt/tuer1500tuer.wav"
"html-keyboard-response","29","343341","0.0-10.0-1.7","rkoq","","","","","","447","q","<div></div>"
"audio-keyboard-response","30","346805","0.0-10.0-0.8","rkoq","","","","","","null","null","audio_projekt/tour1500tier.wav"
"html-keyboard-response","31","347422","0.0-10.0-1.8","rkoq","","","","","","617","p","<div></div>"
"audio-keyboard-response","32","351469","0.0-10.0-0.9","rkoq","","","","","","null","null","audio_projekt/spulen1500spuelen.wav"
"html-keyboard-response","33","352049","0.0-10.0-1.9","rkoq","","","","","","579","p","<div></div>"
"audio-keyboard-response","34","355623","0.0-10.0-0.10","rkoq","","","","","","null","null","audio_projekt/bluten1500bluten.wav"
"html-keyboard-response","35","355886","0.0-10.0-1.10","rkoq","","","","","","262","q","<div></div>"
"audio-keyboard-response","36","359459","0.0-10.0-0.11","rkoq","","","","","","null","null","audio_projekt/blueten1500bluten.wav"
"html-keyboard-response","37","360151","0.0-10.0-1.11","rkoq","","","","","","693","p","<div></div>"
"audio-keyboard-response","38","364093","0.0-10.0-0.12","rkoq","","","","","","null","null","audio_projekt/stuhl1500stiel.wav"
"html-keyboard-response","39","364607","0.0-10.0-1.12","rkoq","","","","","","514","p","<div></div>"
"audio-keyboard-response","40","368059","0.0-10.0-0.13","rkoq","","","","","","null","null","audio_projekt/blueten1500bluten.wav"
"html-keyboard-response","41","368553","0.0-10.0-1.13","rkoq","","","","","","493","p","<div></div>"
"audio-keyboard-response","42","371960","0.0-10.0-0.14","rkoq","","","","","","null","null","audio_projekt/tier1500tour.wav"
"html-keyboard-response","43","372819","0.0-10.0-1.14","rkoq","","","","","","857","p","<div></div>"
"audio-keyboard-response","44","376791","0.0-10.0-0.15","rkoq","","","","","","null","null","audio_projekt/stuhl1500stuhl.wav"
"html-keyboard-response","45","377154","0.0-10.0-1.15","rkoq","","","","","","362","q","<div></div>"
"audio-keyboard-response","46","380523","0.0-10.0-0.16","rkoq","","","","","","null","null","audio_projekt/tier1500tier.wav"
"html-keyboard-response","47","380897","0.0-10.0-1.16","rkoq","","","","","","374","q","<div></div>"
"audio-keyboard-response","48","384258","0.0-10.0-0.17","rkoq","","","","","","null","null","audio_projekt/tuer1500tour.wav"
"html-keyboard-response","49","384599","0.0-10.0-1.17","rkoq","","","","","","341","p","<div></div>"
"audio-keyboard-response","50","388212","0.0-10.0-0.18","rkoq","","","","","","null","null","audio_projekt/kiel1500kiel.wav"
"html-keyboard-response","51","388613","0.0-10.0-1.18","rkoq","","","","","","399","q","<div></div>"
"audio-keyboard-response","52","392118","0.0-10.0-0.19","rkoq","","","","","","null","null","audio_projekt/tour1500tuer.wav"
"html-keyboard-response","53","392518","0.0-10.0-1.19","rkoq","","","","","","399","p","<div></div>"
"audio-keyboard-response","54","396462","0.0-10.0-0.20","rkoq","","","","","","null","null","audio_projekt/stiel1500stuhl.wav"
"html-keyboard-response","55","396605","0.0-10.0-1.20","rkoq","","","","","","143","p","<div></div>"
"audio-keyboard-response","56","400757","0.0-10.0-0.21","rkoq","","","","","","null","null","audio_projekt/spielen1500spuelen.wav"
"html-keyboard-response","57","401184","0.0-10.0-1.21","rkoq","","","","","","427","p","<div></div>"
"audio-keyboard-response","58","404607","0.0-10.0-0.22","rkoq","","","","","","null","null","audio_projekt/blueten1500blueten.wav"
"html-keyboard-response","59","404988","0.0-10.0-1.22","rkoq","","","","","","381","q","<div></div>"
"audio-keyboard-response","60","408621","0.0-10.0-0.23","rkoq","","","","","","null","null","audio_projekt/lieder1500lieder.wav"
"html-keyboard-response","61","408791","0.0-10.0-1.23","rkoq","","","","","","170","q","<div></div>"
"audio-keyboard-response","62","412143","0.0-10.0-0.24","rkoq","","","","","","null","null","audio_projekt/tour1500tour.wav"
"html-keyboard-response","63","412581","0.0-10.0-1.24","rkoq","","","","","","437","q","<div></div>"
"audio-keyboard-response","64","416236","0.0-10.0-0.25","rkoq","","","","","","null","null","audio_projekt/leder1500leder.wav"
"html-keyboard-response","65","416472","0.0-10.0-1.25","rkoq","","","","","","235","q","<div></div>"
"audio-keyboard-response","66","419738","0.0-10.0-0.26","rkoq","","","","","","null","null","audio_projekt/tuer1500tour.wav"
"html-keyboard-response","67","420427","0.0-10.0-1.26","rkoq","","","","","","689","p","<div></div>"
"audio-keyboard-response","68","424364","0.0-10.0-0.27","rkoq","","","","","","null","null","audio_projekt/stiel1500stiel.wav"
"html-keyboard-response","69","424642","0.0-10.0-1.27","rkoq","","","","","","279","q","<div></div>"
"audio-keyboard-response","70","428838","0.0-10.0-0.28","rkoq","","","","","","null","null","audio_projekt/spulen1500spielen.wav"
"html-keyboard-response","71","429099","0.0-10.0-1.28","rkoq","","","","","","262","p","<div></div>"
"audio-keyboard-response","72","432749","0.0-10.0-0.29","rkoq","","","","","","null","null","audio_projekt/leder1500lieder.wav"
"html-keyboard-response","73","433524","0.0-10.0-1.29","rkoq","","","","","","775","p","<div></div>"
