"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus"
"pavlovia","0","1228","0.0-0.0","vckw","","","","","","","",""
"preload","1","1231","0.0-1.0","vckw","true","false","[]","[]","[]","","",""
"survey-html-form","2","8709","0.0-2.0","vckw","","","","","","7473","{""code"":""62a33f629f9fe91f831c2afc""}",""
"html-button-response","3","479136","0.0-3.0","vckw","","","","","","470421","0","<h2>Willkommen zum Experiment!</h2><div class=""myDiv""><p>Vielen Dank f&uuml;r Ihr Interesse an dieser Studie. Wir bitten Sie <strong>Kopfh&ouml;rer</strong> daf&uuml;r zu verwenden.</p></div><div><img src=""pics/headphones.png"" title=""Earbuds are also fine"" width=""250"" height=""200"" class=""center""></div><div class=""myDiv""><p>Das Experiment besteht aus zwei Teilen:</p> <ol> <li>Eine <strong>Unterscheidungsaufgabe,</strong> in der Sie zwei W&ouml;rter h&ouml;ren. Im Anschluss sollen Sie feststellen, ob diese W&ouml;rter gleich oder unterschiedlich sind;</li><li>Eine <strong>Identifikationsaufgabe,</strong> in der Sie nur ein Wort h&ouml;ren, wobei Ihnen aber zwei Bilder gezeigt werden. Ihre Aufgabe ist es, dasjenige Bild auszuw&auml;hlen, das das geh&ouml;rte Wort darstellt.</li> </ol><p>Wir bitten Sie um Ihre Zustimmung, bevor wir Ihre Daten sammeln und verwenden. Bitte klicken Sie auf den ""Start""-Button, um Ihre Zustimmung zu geben. Anschlie&szlig;end werden wir ein paar Fragen zu Ihren Sprachkenntnissen stellen. Danach k&ouml;nnen Sie das Experiment starten. </p></div>"
"survey-html-form","4","485356","0.0-4.0","vckw","","","","","","6216","{""zustimmung"":""on""}",""
"survey-html-form","5","542212","0.0-5.0","vckw","","","","","","56847","{""native"":""Englisch"",""AOL"":""15"",""LearnType1"":""classeshome"",""LearnType2"":""selflearn"",""which"":""selbstlernen"",""AOA"":"""",""timespent"":""""}",""
"audio-button-response","6","1355180","0.0-6.0-0.0","vckw","","","","","","812220","0","audio_projekt/treffen1.wav"
"audio-button-response","7","1376365","0.0-6.1-0.1","vckw","","","","","","21181","0","audio_projekt/treffen1.wav"
"audio-button-response","8","1379878","0.0-6.2-0.2","vckw","","","","","","3508","0","audio_projekt/treffen1.wav"
"audio-button-response","9","1381570","0.0-6.3-0.3","vckw","","","","","","1688","0","audio_projekt/treffen1.wav"
"audio-button-response","10","1387217","0.0-6.4-0.4","vckw","","","","","","5639","0","audio_projekt/treffen1.wav"
"audio-button-response","11","1388660","0.0-6.5-0.5","vckw","","","","","","1438","0","audio_projekt/treffen1.wav"
"audio-button-response","12","1390327","0.0-6.6-0.6","vckw","","","","","","1660","0","audio_projekt/treffen1.wav"
"audio-button-response","13","1391297","0.0-6.7-0.7","vckw","","","","","","967","0","audio_projekt/treffen1.wav"
"audio-button-response","14","1392716","0.0-6.8-0.8","vckw","","","","","","1416","0","audio_projekt/treffen1.wav"
"audio-button-response","15","1396047","0.0-6.9-0.9","vckw","","","","","","3325","1","audio_projekt/treffen1.wav"
"html-keyboard-response","16","1419247","0.0-7.0","vckw","","","","","","23197"," ","<h2>Teil 1: Unterscheidungsaufgabe</h2><div class=""myDiv""><p>In diesem Teil des Experimentes werden Sie im Abstand von 1.5 Sekunden <b>zwei W&ouml;rter</b> h&ouml;ren.</p><ul><li>Ihre Aufgabe ist es, festzustellen, ob diese W&ouml;rter <b>gleich oder unterschiedlich</b> sind. Wenn es einen Unterschied gibt, besteht dieser nur aus einem Vokal. </li> <li>Dr&uuml;cken Sie die <b>Taste Q</b>, wenn die W&ouml;rter gleich sind. Dr&uuml;cken Sie die <b>Taste P</b>, wenn die W&ouml;rter unterschiedlich sind.</li><li>Bitte warten Sie, bis Sie <b>beide Wörter gehört haben</b>, bevor Sie eine Taste drücken. Aber Achtung: Sie haben nur <b>5 Sekunden</b>, um eine Option auszuw&auml;hlen! &Uuml;berlegen Sie daher bitte nicht zu lange.</li></ul><br><p>Dr&uuml;cken Sie eine beliebige Taste, um ein paar Testversuche zu machen.</p></ul></div>"
"audio-keyboard-response","17","1423116","0.0-8.0-0.0","vckw","","","","","","null","null","audio_projekt/treffen1500triefen.wav"
"html-keyboard-response","18","1423740","0.0-8.0-1.0","vckw","","","","","","622","p","<div></div>"
"audio-keyboard-response","19","1428334","0.0-8.0-0.1","vckw","","","","","","null","null","audio_projekt/treffen1500treffen.wav"
"html-keyboard-response","20","1428775","0.0-8.0-1.1","vckw","","","","","","439","q","<div></div>"
"html-keyboard-response","21","1432538","0.0-9.0","vckw","","","","","","2961"," ","<p>Gut! Jetzt f&auml;ngt der erste Teil des Experiments an. Dieser Teil dauert ca. 10 Minuten.</p><br><p>Bitte dr&uuml;cken Sie eine beliebige Taste, um fortzufahren.<div style=""height:30px; width:100%""></div>"
"audio-keyboard-response","22","1436612","0.0-10.0-0.0","vckw","","","","","","null","null","audio_projekt/spulen1500spulen.wav"
"html-keyboard-response","23","1436733","0.0-10.0-1.0","vckw","","","","","","119","q","<div></div>"
"audio-keyboard-response","24","1440732","0.0-10.0-0.1","vckw","","","","","","null","null","audio_projekt/tour1500tuer.wav"
"html-keyboard-response","25","1441405","0.0-10.0-1.1","vckw","","","","","","669","p","<div></div>"
"audio-keyboard-response","26","1445932","0.0-10.0-0.2","vckw","","","","","","null","null","audio_projekt/tuer1500tour.wav"
"html-keyboard-response","27","1446504","0.0-10.0-1.2","vckw","","","","","","571","p","<div></div>"
"audio-keyboard-response","28","1451451","0.0-10.0-0.3","vckw","","","","","","null","null","audio_projekt/stiel1500stuhl.wav"
"html-keyboard-response","29","1452572","0.0-10.0-1.3","vckw","","","","","","1118","p","<div></div>"
"audio-keyboard-response","30","1457050","0.0-10.0-0.4","vckw","","","","","","null","null","audio_projekt/lieder1500leder.wav"
"html-keyboard-response","31","1457188","0.0-10.0-1.4","vckw","","","","","","136","p","<div></div>"
"audio-keyboard-response","32","1462210","0.0-10.0-0.5","vckw","","","","","","null","null","audio_projekt/spuelen1500spielen.wav"
"html-keyboard-response","33","1462415","0.0-10.0-1.5","vckw","","","","","","202","p","<div></div>"
"audio-keyboard-response","34","1466469","0.0-10.0-0.6","vckw","","","","","","null","null","audio_projekt/tuer1500tuer.wav"
"html-keyboard-response","35","1467006","0.0-10.0-1.6","vckw","","","","","","535","q","<div></div>"
"audio-keyboard-response","36","1471469","0.0-10.0-0.7","vckw","","","","","","null","null","audio_projekt/leder1500lieder.wav"
"html-keyboard-response","37","1471725","0.0-10.0-1.7","vckw","","","","","","254","p","<div></div>"
"audio-keyboard-response","38","1476148","0.0-10.0-0.8","vckw","","","","","","null","null","audio_projekt/leder1500leder.wav"
"html-keyboard-response","39","1476464","0.0-10.0-1.8","vckw","","","","","","314","q","<div></div>"
"audio-keyboard-response","40","1481585","0.0-10.0-0.9","vckw","","","","","","null","null","audio_projekt/spielen1500spulen.wav"
"html-keyboard-response","41","1481631","0.0-10.0-1.9","vckw","","","","","","45","p","<div></div>"
"audio-keyboard-response","42","1486224","0.0-10.0-0.10","vckw","","","","","","null","null","audio_projekt/blueten1500blueten.wav"
"html-keyboard-response","43","1486679","0.0-10.0-1.10","vckw","","","","","","452","q","<div></div>"
"audio-keyboard-response","44","1491583","0.0-10.0-0.11","vckw","","","","","","null","null","audio_projekt/spulen1500spuelen.wav"
"html-keyboard-response","45","1491795","0.0-10.0-1.11","vckw","","","","","","211","p","<div></div>"
"audio-keyboard-response","46","1496282","0.0-10.0-0.12","vckw","","","","","","null","null","audio_projekt/bluten1500blueten.wav"
"html-keyboard-response","47","1496455","0.0-10.0-1.12","vckw","","","","","","170","p","<div></div>"
"audio-keyboard-response","48","1501242","0.0-10.0-0.13","vckw","","","","","","null","null","audio_projekt/stuhl1500stuhl.wav"
"html-keyboard-response","49","1501520","0.0-10.0-1.13","vckw","","","","","","276","q","<div></div>"
"audio-keyboard-response","50","1505822","0.0-10.0-0.14","vckw","","","","","","null","null","audio_projekt/kiel1500kuehl.wav"
"html-keyboard-response","51","1506966","0.0-10.0-1.14","vckw","","","","","","1143","p","<div></div>"
"audio-keyboard-response","52","1511681","0.0-10.0-0.15","vckw","","","","","","null","null","audio_projekt/stuhl1500stiel.wav"
"html-keyboard-response","53","1511995","0.0-10.0-1.15","vckw","","","","","","312","p","<div></div>"
"audio-keyboard-response","54","1517400","0.0-10.0-0.16","vckw","","","","","","null","null","audio_projekt/spielen1500spuelen.wav"
"html-keyboard-response","55","1517448","0.0-10.0-1.16","vckw","","","","","","47","p","<div></div>"
"audio-keyboard-response","56","1521698","0.0-10.0-0.17","vckw","","","","","","null","null","audio_projekt/tier1500tier.wav"
"html-keyboard-response","57","1522882","0.0-10.0-1.17","vckw","","","","","","1181","q","<div></div>"
"audio-keyboard-response","58","1527058","0.0-10.0-0.18","vckw","","","","","","null","null","audio_projekt/buehne1500buehne.wav"
"html-keyboard-response","59","1527604","0.0-10.0-1.18","vckw","","","","","","542","q","<div></div>"
"audio-keyboard-response","60","1531418","0.0-10.0-0.19","vckw","","","","","","null","null","audio_projekt/stuhl1500stiel.wav"
"html-keyboard-response","61","1532073","0.0-10.0-1.19","vckw","","","","","","654","p","<div></div>"
"audio-keyboard-response","62","1535917","0.0-10.0-0.20","vckw","","","","","","null","null","audio_projekt/tour1500tier.wav"
"html-keyboard-response","63","1535950","0.0-10.0-1.20","vckw","","","","","","31","p","<div></div>"
"audio-keyboard-response","64","1540796","0.0-10.0-0.21","vckw","","","","","","null","null","audio_projekt/segel1500siegel.wav"
"html-keyboard-response","65","1541051","0.0-10.0-1.21","vckw","","","","","","254","p","<div></div>"
"audio-keyboard-response","66","1545637","0.0-10.0-0.22","vckw","","","","","","null","null","audio_projekt/bluten1500bluten.wav"
"html-keyboard-response","67","1545887","0.0-10.0-1.22","vckw","","","","","","248","q","<div></div>"
"audio-keyboard-response","68","1549317","0.0-10.0-0.23","vckw","","","","","","null","null","audio_projekt/blueten1500blueten.wav"
"html-keyboard-response","69","1549375","0.0-10.0-1.23","vckw","","","","","","57","q","<div></div>"
"audio-keyboard-response","70","1554356","0.0-10.0-0.24","vckw","","","","","","null","null","audio_projekt/segel1500segel.wav"
"html-keyboard-response","71","1555687","0.0-10.0-1.24","vckw","","","","","","1329","p","<div></div>"
"audio-keyboard-response","72","1560175","0.0-10.0-0.25","vckw","","","","","","null","null","audio_projekt/blueten1500bluten.wav"
"html-keyboard-response","73","1560537","0.0-10.0-1.25","vckw","","","","","","360","p","<div></div>"
"audio-keyboard-response","74","1563955","0.0-10.0-0.26","vckw","","","","","","null","null","audio_projekt/bluten1500bluten.wav"
"html-keyboard-response","75","1568965","0.0-10.0-1.26","vckw","","","","","","null","null","<div></div>"
"audio-keyboard-response","76","1573693","0.0-10.0-0.27","vckw","","","","","","null","null","audio_projekt/siegel1500segel.wav"
"html-keyboard-response","77","1574797","0.0-10.0-1.27","vckw","","","","","","1101","p","<div></div>"
"audio-keyboard-response","78","1579572","0.0-10.0-0.28","vckw","","","","","","null","null","audio_projekt/siegel1500siegel.wav"
"html-keyboard-response","79","1579825","0.0-10.0-1.28","vckw","","","","","","250","q","<div></div>"
"audio-keyboard-response","80","1583732","0.0-10.0-0.29","vckw","","","","","","null","null","audio_projekt/tour1500tour.wav"
"html-keyboard-response","81","1584193","0.0-10.0-1.29","vckw","","","","","","459","q","<div></div>"
"audio-keyboard-response","82","1587452","0.0-10.0-0.30","vckw","","","","","","null","null","audio_projekt/tuer1500tour.wav"
"html-keyboard-response","83","1587866","0.0-10.0-1.30","vckw","","","","","","413","p","<div></div>"
"audio-keyboard-response","84","1591911","0.0-10.0-0.31","vckw","","","","","","null","null","audio_projekt/spuelen1500spielen.wav"
"html-keyboard-response","85","1592056","0.0-10.0-1.31","vckw","","","","","","144","p","<div></div>"
"audio-keyboard-response","86","1596130","0.0-10.0-0.32","vckw","","","","","","null","null","audio_projekt/spulen1500spulen.wav"
"html-keyboard-response","87","1596255","0.0-10.0-1.32","vckw","","","","","","122","q","<div></div>"
"audio-keyboard-response","88","1599509","0.0-10.0-0.33","vckw","","","","","","null","null","audio_projekt/tuer1500tuer.wav"
"html-keyboard-response","89","1600187","0.0-10.0-1.33","vckw","","","","","","677","q","<div></div>"
"audio-keyboard-response","90","1604208","0.0-10.0-0.34","vckw","","","","","","null","null","audio_projekt/buehne1500biene.wav"
"html-keyboard-response","91","1604714","0.0-10.0-1.34","vckw","","","","","","504","p","<div></div>"
"audio-keyboard-response","92","1609387","0.0-10.0-0.35","vckw","","","","","","null","null","audio_projekt/spielen1500spielen.wav"
"html-keyboard-response","93","1609903","0.0-10.0-1.35","vckw","","","","","","514","q","<div></div>"
"audio-keyboard-response","94","1613167","0.0-10.0-0.36","vckw","","","","","","null","null","audio_projekt/tour1500tier.wav"
"html-keyboard-response","95","1614073","0.0-10.0-1.36","vckw","","","","","","904","p","<div></div>"
"audio-keyboard-response","96","1618506","0.0-10.0-0.37","vckw","","","","","","null","null","audio_projekt/kuehl1500kuehl.wav"
"html-keyboard-response","97","1618946","0.0-10.0-1.37","vckw","","","","","","438","q","<div></div>"
"audio-keyboard-response","98","1623085","0.0-10.0-0.38","vckw","","","","","","null","null","audio_projekt/biene1500buehne.wav"
"html-keyboard-response","99","1623659","0.0-10.0-1.38","vckw","","","","","","571","p","<div></div>"
"audio-keyboard-response","100","1627565","0.0-10.0-0.39","vckw","","","","","","null","null","audio_projekt/segel1500segel.wav"
"html-keyboard-response","101","1629867","0.0-10.0-1.39","vckw","","","","","","2300","p","<div></div>"
"audio-keyboard-response","102","1633903","0.0-10.0-0.40","vckw","","","","","","null","null","audio_projekt/spielen1500spuelen.wav"
"html-keyboard-response","103","1634455","0.0-10.0-1.40","vckw","","","","","","550","p","<div></div>"
"audio-keyboard-response","104","1639063","0.0-10.0-0.41","vckw","","","","","","null","null","audio_projekt/spuelen1500spulen.wav"
"html-keyboard-response","105","1639195","0.0-10.0-1.41","vckw","","","","","","131","p","<div></div>"
"audio-keyboard-response","106","1642623","0.0-10.0-0.42","vckw","","","","","","null","null","audio_projekt/buehne1500biene.wav"
"html-keyboard-response","107","1643026","0.0-10.0-1.42","vckw","","","","","","401","p","<div></div>"
"audio-keyboard-response","108","1647162","0.0-10.0-0.43","vckw","","","","","","null","null","audio_projekt/kiel1500kiel.wav"
"html-keyboard-response","109","1647952","0.0-10.0-1.43","vckw","","","","","","788","q","<div></div>"
"audio-keyboard-response","110","1651521","0.0-10.0-0.44","vckw","","","","","","null","null","audio_projekt/leder1500leder.wav"
"html-keyboard-response","111","1652317","0.0-10.0-1.44","vckw","","","","","","793","q","<div></div>"
