"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus"
"pavlovia","0","735","0.0-0.0","vp8z","","","","","","","",""
"preload","1","736","0.0-1.0","vp8z","true","false","[]","[]","[]","","",""
"survey-html-form","2","5129","0.0-2.0","vp8z","","","","","","4393","{""code"":""60745654775360c343322bd9""}",""
"html-button-response","3","17829","0.0-3.0","vp8z","","","","","","12696","0","<h2>Willkommen zum Experiment!</h2><div class=""myDiv""><p>Vielen Dank f&uuml;r Ihr Interesse an dieser Studie. Wir bitten Sie <strong>Kopfh&ouml;rer</strong> daf&uuml;r zu verwenden.</p></div><div><img src=""pics/headphones.png"" title=""Earbuds are also fine"" width=""250"" height=""200"" class=""center""></div><div class=""myDiv""><p>Das Experiment besteht aus zwei Teilen:</p> <ol> <li>Eine <strong>Unterscheidungsaufgabe,</strong> in der Sie zwei W&ouml;rter h&ouml;ren. Im Anschluss sollen Sie feststellen, ob diese W&ouml;rter gleich oder unterschiedlich sind;</li><li>Eine <strong>Identifikationsaufgabe,</strong> in der Sie nur ein Wort h&ouml;ren, wobei Ihnen aber zwei Bilder gezeigt werden. Ihre Aufgabe ist es, dasjenige Bild auszuw&auml;hlen, das das geh&ouml;rte Wort darstellt.</li> </ol><p>Wir bitten Sie um Ihre Zustimmung, bevor wir Ihre Daten sammeln und verwenden. Bitte klicken Sie auf den ""Start""-Button, um Ihre Zustimmung zu geben. Anschlie&szlig;end werden wir ein paar Fragen zu Ihren Sprachkenntnissen stellen. Danach k&ouml;nnen Sie das Experiment starten. </p></div>"
"survey-html-form","4","27048","0.0-4.0","vp8z","","","","","","9216","{""zustimmung"":""on""}",""
"survey-html-form","5","90881","0.0-5.0","vp8z","","","","","","63803","{""native"":""Englisch"",""AOL"":""12"",""LearnType1"":""classeshome"",""LearnType4"":""uni"",""LearnType6"":""immersion"",""which"":""Deutschkurs in meinem Heimatland (in der Schule/an der Uni)"",""AOA"":""20"",""timespent"":""1 Jahr""}",""
"audio-button-response","6","97832","0.0-6.0-0.0","vp8z","","","","","","6768","0","audio_projekt/treffen1.wav"
"audio-button-response","7","100362","0.0-6.1-0.1","vp8z","","","","","","2528","0","audio_projekt/treffen1.wav"
"audio-button-response","8","101990","0.0-6.2-0.2","vp8z","","","","","","1626","1","audio_projekt/treffen1.wav"
"html-keyboard-response","9","109789","0.0-7.0","vp8z","","","","","","7796","arrowdown","<h2>Teil 1: Unterscheidungsaufgabe</h2><div class=""myDiv""><p>In diesem Teil des Experimentes werden Sie im Abstand von 1.5 Sekunden <b>zwei W&ouml;rter</b> h&ouml;ren.</p><ul><li>Ihre Aufgabe ist es, festzustellen, ob diese W&ouml;rter <b>gleich oder unterschiedlich</b> sind. Wenn es einen Unterschied gibt, besteht dieser nur aus einem Vokal. </li> <li>Dr&uuml;cken Sie die <b>Taste Q</b>, wenn die W&ouml;rter gleich sind. Dr&uuml;cken Sie die <b>Taste P</b>, wenn die W&ouml;rter unterschiedlich sind.</li><li>Bitte warten Sie, bis Sie <b>beide Wörter gehört haben</b>, bevor Sie eine Taste drücken. Aber Achtung: Sie haben nur <b>5 Sekunden</b>, um eine Option auszuw&auml;hlen! &Uuml;berlegen Sie daher bitte nicht zu lange.</li></ul><br><p>Dr&uuml;cken Sie eine beliebige Taste, um ein paar Testversuche zu machen.</p></ul></div>"
"audio-keyboard-response","10","113901","0.0-8.0-0.0","vp8z","","","","","","null","null","audio_projekt/treffen1500triefen.wav"
"html-keyboard-response","11","115275","0.0-8.0-1.0","vp8z","","","","","","1373","p","<div></div>"
"audio-keyboard-response","12","119626","0.0-8.0-0.1","vp8z","","","","","","null","null","audio_projekt/treffen1500treffen.wav"
"html-keyboard-response","13","120442","0.0-8.0-1.1","vp8z","","","","","","813","q","<div></div>"
"html-keyboard-response","14","128984","0.0-9.0","vp8z","","","","","","7343","arrowdown","<p>Gut! Jetzt f&auml;ngt der erste Teil des Experiments an. Dieser Teil dauert ca. 10 Minuten.</p><br><p>Bitte dr&uuml;cken Sie eine beliebige Taste, um fortzufahren.<div style=""height:30px; width:100%""></div>"
"audio-keyboard-response","15","136408","0.0-10.0-0.0","vp8z","","","","","","null","null","audio_projekt/blueten1500bluten.wav"
"html-keyboard-response","16","138184","0.0-10.0-1.0","vp8z","","","","","","1775","p","<div></div>"
"audio-keyboard-response","17","145307","0.0-10.0-0.1","vp8z","","","","","","null","null","audio_projekt/spuelen1500spielen.wav"
"html-keyboard-response","18","146055","0.0-10.0-1.1","vp8z","","","","","","747","p","<div></div>"
"audio-keyboard-response","19","150221","0.0-10.0-0.2","vp8z","","","","","","null","null","audio_projekt/spuelen1500spulen.wav"
"html-keyboard-response","20","153967","0.0-10.0-1.2","vp8z","","","","","","3745","q","<div></div>"
"audio-keyboard-response","21","157891","0.0-10.0-0.3","vp8z","","","","","","null","null","audio_projekt/spuelen1500spulen.wav"
"html-keyboard-response","22","159526","0.0-10.0-1.3","vp8z","","","","","","1633","q","<div></div>"
"audio-keyboard-response","23","164381","0.0-10.0-0.4","vp8z","","","","","","null","null","audio_projekt/spulen1500spulen.wav"
"html-keyboard-response","24","165100","0.0-10.0-1.4","vp8z","","","","","","717","q","<div></div>"
"audio-keyboard-response","25","169855","0.0-10.0-0.5","vp8z","","","","","","null","null","audio_projekt/lieder1500lieder.wav"
"html-keyboard-response","26","171211","0.0-10.0-1.5","vp8z","","","","","","1355","q","<div></div>"
"audio-keyboard-response","27","176423","0.0-10.0-0.6","vp8z","","","","","","null","null","audio_projekt/kiel1500kiel.wav"
"html-keyboard-response","28","177466","0.0-10.0-1.6","vp8z","","","","","","1042","q","<div></div>"
"audio-keyboard-response","29","182321","0.0-10.0-0.7","vp8z","","","","","","null","null","audio_projekt/tuer1500tour.wav"
"html-keyboard-response","30","183302","0.0-10.0-1.7","vp8z","","","","","","982","p","<div></div>"
"audio-keyboard-response","31","191488","0.0-10.0-0.8","vp8z","","","","","","null","null","audio_projekt/spulen1500spielen.wav"
"html-keyboard-response","32","191911","0.0-10.0-1.8","vp8z","","","","","","423","p","<div></div>"
"audio-keyboard-response","33","196899","0.0-10.0-0.9","vp8z","","","","","","null","null","audio_projekt/biene1500biene.wav"
"html-keyboard-response","34","198201","0.0-10.0-1.9","vp8z","","","","","","1302","q","<div></div>"
"audio-keyboard-response","35","203048","0.0-10.0-0.10","vp8z","","","","","","null","null","audio_projekt/tuer1500tuer.wav"
"html-keyboard-response","36","206576","0.0-10.0-1.10","vp8z","","","","","","3528","q","<div></div>"
"audio-keyboard-response","37","213158","0.0-10.0-0.11","vp8z","","","","","","null","null","audio_projekt/tier1500tour.wav"
"html-keyboard-response","38","215480","0.0-10.0-1.11","vp8z","","","","","","2320","p","<div></div>"
"audio-keyboard-response","39","220171","0.0-10.0-0.12","vp8z","","","","","","null","null","audio_projekt/tour1500tour.wav"
"html-keyboard-response","40","221344","0.0-10.0-1.12","vp8z","","","","","","1173","q","<div></div>"
"audio-keyboard-response","41","226367","0.0-10.0-0.13","vp8z","","","","","","null","null","audio_projekt/tour1500tuer.wav"
"html-keyboard-response","42","228910","0.0-10.0-1.13","vp8z","","","","","","2540","q","<div></div>"
"audio-keyboard-response","43","235793","0.0-10.0-0.14","vp8z","","","","","","null","null","audio_projekt/biene1500buehne.wav"
"html-keyboard-response","44","237261","0.0-10.0-1.14","vp8z","","","","","","1467","p","<div></div>"
"audio-keyboard-response","45","245960","0.0-10.0-0.15","vp8z","","","","","","null","null","audio_projekt/kuehl1500kuehl.wav"
"html-keyboard-response","46","247451","0.0-10.0-1.15","vp8z","","","","","","1491","q","<div></div>"
"audio-keyboard-response","47","251937","0.0-10.0-0.16","vp8z","","","","","","null","null","audio_projekt/kiel1500kuehl.wav"
"html-keyboard-response","48","253253","0.0-10.0-1.16","vp8z","","","","","","1315","p","<div></div>"
"audio-keyboard-response","49","259106","0.0-10.0-0.17","vp8z","","","","","","null","null","audio_projekt/spielen1500spulen.wav"
"html-keyboard-response","50","260454","0.0-10.0-1.17","vp8z","","","","","","1347","p","<div></div>"
"audio-keyboard-response","51","264685","0.0-10.0-0.18","vp8z","","","","","","null","null","audio_projekt/lieder1500leder.wav"
"html-keyboard-response","52","268064","0.0-10.0-1.18","vp8z","","","","","","3377","p","<div></div>"
"audio-keyboard-response","53","271905","0.0-10.0-0.19","vp8z","","","","","","null","null","audio_projekt/bluten1500bluten.wav"
"html-keyboard-response","54","273239","0.0-10.0-1.19","vp8z","","","","","","1333","q","<div></div>"
"audio-keyboard-response","55","279631","0.0-10.0-0.20","vp8z","","","","","","null","null","audio_projekt/siegel1500segel.wav"
"html-keyboard-response","56","281242","0.0-10.0-1.20","vp8z","","","","","","1609","p","<div></div>"
"audio-keyboard-response","57","285777","0.0-10.0-0.21","vp8z","","","","","","null","null","audio_projekt/buehne1500buehne.wav"
"html-keyboard-response","58","289008","0.0-10.0-1.21","vp8z","","","","","","3230","q","<div></div>"
"audio-keyboard-response","59","295000","0.0-10.0-0.22","vp8z","","","","","","null","null","audio_projekt/kuehl1500kiel.wav"
"html-keyboard-response","60","300037","0.0-10.0-1.22","vp8z","","","","","","null","null","<div></div>"
"audio-keyboard-response","61","306723","0.0-10.0-0.23","vp8z","","","","","","null","null","audio_projekt/blueten1500blueten.wav"
"html-keyboard-response","62","310389","0.0-10.0-1.23","vp8z","","","","","","3665","p","<div></div>"
"audio-keyboard-response","63","313897","0.0-10.0-0.24","vp8z","","","","","","null","null","audio_projekt/blueten1500blueten.wav"
