"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus"
"pavlovia","0","618","0.0-0.0","wl2w","","","","","","","",""
"preload","1","619","0.0-1.0","wl2w","true","false","[]","[]","[]","","",""
"survey-html-form","2","7963","0.0-2.0","wl2w","","","","","","7343","{""code"":""60b36a96346dd63678e6cfe6""}",""
"html-button-response","3","57371","0.0-3.0","wl2w","","","","","","49407","0","<h2>Willkommen zum Experiment!</h2><div class=""myDiv""><p>Vielen Dank f&uuml;r Ihr Interesse an dieser Studie. Wir bitten Sie <strong>Kopfh&ouml;rer</strong> daf&uuml;r zu verwenden.</p></div><div><img src=""pics/headphones.png"" title=""Earbuds are also fine"" width=""250"" height=""200"" class=""center""></div><div class=""myDiv""><p>Das Experiment besteht aus zwei Teilen:</p> <ol> <li>Eine <strong>Unterscheidungsaufgabe,</strong> in der Sie zwei W&ouml;rter h&ouml;ren. Im Anschluss sollen Sie feststellen, ob diese W&ouml;rter gleich oder unterschiedlich sind;</li><li>Eine <strong>Identifikationsaufgabe,</strong> in der Sie nur ein Wort h&ouml;ren, wobei Ihnen aber zwei Bilder gezeigt werden. Ihre Aufgabe ist es, dasjenige Bild auszuw&auml;hlen, das das geh&ouml;rte Wort darstellt.</li> </ol><p>Wir bitten Sie um Ihre Zustimmung, bevor wir Ihre Daten sammeln und verwenden. Bitte klicken Sie auf den ""Start""-Button, um Ihre Zustimmung zu geben. Anschlie&szlig;end werden wir ein paar Fragen zu Ihren Sprachkenntnissen stellen. Danach k&ouml;nnen Sie das Experiment starten. </p></div>"
"survey-html-form","4","65627","0.0-4.0","wl2w","","","","","","8255","{""zustimmung"":""on""}",""
"survey-html-form","5","345227","0.0-5.0","wl2w","","","","","","279599","{""native"":""Englisch"",""AOL"":""1998"",""LearnType1"":""classeshome"",""LearnType2"":""selflearn"",""LearnType3"":""lgeschool"",""which"":""Deutschkurs (Open Universität und Goethe Institut)"",""AOA"":""n. z."",""timespent"":""n. z. ""}",""
"audio-button-response","6","354362","0.0-6.0-0.0","wl2w","","","","","","8815","0","audio_projekt/treffen1.wav"
"audio-button-response","7","355570","0.0-6.1-0.1","wl2w","","","","","","1207","1","audio_projekt/treffen1.wav"
"html-keyboard-response","8","385189","0.0-7.0","wl2w","","","","","","29618","p","<h2>Teil 1: Unterscheidungsaufgabe</h2><div class=""myDiv""><p>In diesem Teil des Experimentes werden Sie im Abstand von 1.5 Sekunden <b>zwei W&ouml;rter</b> h&ouml;ren.</p><ul><li>Ihre Aufgabe ist es, festzustellen, ob diese W&ouml;rter <b>gleich oder unterschiedlich</b> sind. Wenn es einen Unterschied gibt, besteht dieser nur aus einem Vokal. </li> <li>Dr&uuml;cken Sie die <b>Taste Q</b>, wenn die W&ouml;rter gleich sind. Dr&uuml;cken Sie die <b>Taste P</b>, wenn die W&ouml;rter unterschiedlich sind.</li><li>Bitte warten Sie, bis Sie <b>beide Wörter gehört haben</b>, bevor Sie eine Taste drücken. Aber Achtung: Sie haben nur <b>5 Sekunden</b>, um eine Option auszuw&auml;hlen! &Uuml;berlegen Sie daher bitte nicht zu lange.</li></ul><br><p>Dr&uuml;cken Sie eine beliebige Taste, um ein paar Testversuche zu machen.</p></ul></div>"
"audio-keyboard-response","9","388629","0.0-8.0-0.0","wl2w","","","","","","null","null","audio_projekt/treffen1500triefen.wav"
"html-keyboard-response","10","389646","0.0-8.0-1.0","wl2w","","","","","","1017","p","<div></div>"
"audio-keyboard-response","11","393509","0.0-8.0-0.1","wl2w","","","","","","null","null","audio_projekt/treffen1500treffen.wav"
"html-keyboard-response","12","393830","0.0-8.0-1.1","wl2w","","","","","","321","q","<div></div>"
"html-keyboard-response","13","399136","0.0-9.0","wl2w","","","","","","4496"," ","<p>Gut! Jetzt f&auml;ngt der erste Teil des Experiments an. Dieser Teil dauert ca. 10 Minuten.</p><br><p>Bitte dr&uuml;cken Sie eine beliebige Taste, um fortzufahren.<div style=""height:30px; width:100%""></div>"
"audio-keyboard-response","14","402310","0.0-10.0-0.0","wl2w","","","","","","null","null","audio_projekt/stiel1500stuhl.wav"
"html-keyboard-response","15","403071","0.0-10.0-1.0","wl2w","","","","","","761","p","<div></div>"
"audio-keyboard-response","16","406709","0.0-10.0-0.1","wl2w","","","","","","null","null","audio_projekt/blueten1500bluten.wav"
"html-keyboard-response","17","407290","0.0-10.0-1.1","wl2w","","","","","","580","q","<div></div>"
"audio-keyboard-response","18","410970","0.0-10.0-0.2","wl2w","","","","","","null","null","audio_projekt/kuehl1500kiel.wav"
"html-keyboard-response","19","411708","0.0-10.0-1.2","wl2w","","","","","","738","p","<div></div>"
"audio-keyboard-response","20","415390","0.0-10.0-0.3","wl2w","","","","","","null","null","audio_projekt/kiel1500kuehl.wav"
"html-keyboard-response","21","416042","0.0-10.0-1.3","wl2w","","","","","","652","p","<div></div>"
"audio-keyboard-response","22","419450","0.0-10.0-0.4","wl2w","","","","","","null","null","audio_projekt/tuer1500tour.wav"
"html-keyboard-response","23","420123","0.0-10.0-1.4","wl2w","","","","","","673","p","<div></div>"
"audio-keyboard-response","24","424210","0.0-10.0-0.5","wl2w","","","","","","null","null","audio_projekt/segel1500siegel.wav"
"html-keyboard-response","25","425328","0.0-10.0-1.5","wl2w","","","","","","1118","p","<div></div>"
"audio-keyboard-response","26","428990","0.0-10.0-0.6","wl2w","","","","","","null","null","audio_projekt/kiel1500kiel.wav"
"html-keyboard-response","27","429834","0.0-10.0-1.6","wl2w","","","","","","844","q","<div></div>"
"audio-keyboard-response","28","433930","0.0-10.0-0.7","wl2w","","","","","","null","null","audio_projekt/siegel1500segel.wav"
"html-keyboard-response","29","434454","0.0-10.0-1.7","wl2w","","","","","","524","p","<div></div>"
"audio-keyboard-response","30","438130","0.0-10.0-0.8","wl2w","","","","","","null","null","audio_projekt/kuehl1500kuehl.wav"
"html-keyboard-response","31","438894","0.0-10.0-1.8","wl2w","","","","","","764","q","<div></div>"
