"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus"
"pavlovia","0","678","0.0-0.0","y24l","","","","","","","",""
"preload","1","679","0.0-1.0","y24l","true","false","[]","[]","[]","","",""
"survey-html-form","2","12611","0.0-2.0","y24l","","","","","","11930","{""code"":""66aca342130987c30dfa4958""}",""
"html-button-response","3","55844","0.0-3.0","y24l","","","","","","43231","0","<h2>Willkommen zum Experiment!</h2><div class=""myDiv""><p>Vielen Dank f&uuml;r Ihr Interesse an dieser Studie. Wir bitten Sie <strong>Kopfh&ouml;rer</strong> daf&uuml;r zu verwenden.</p></div><div><img src=""pics/headphones.png"" title=""Earbuds are also fine"" width=""250"" height=""200"" class=""center""></div><div class=""myDiv""><p>Das Experiment besteht aus zwei Teilen:</p> <ol> <li>Eine <strong>Unterscheidungsaufgabe,</strong> in der Sie zwei W&ouml;rter h&ouml;ren. Im Anschluss sollen Sie feststellen, ob diese W&ouml;rter gleich oder unterschiedlich sind;</li><li>Eine <strong>Identifikationsaufgabe,</strong> in der Sie nur ein Wort h&ouml;ren, wobei Ihnen aber zwei Bilder gezeigt werden. Ihre Aufgabe ist es, dasjenige Bild auszuw&auml;hlen, das das geh&ouml;rte Wort darstellt.</li> </ol><p>Wir bitten Sie um Ihre Zustimmung, bevor wir Ihre Daten sammeln und verwenden. Bitte klicken Sie auf den ""Start""-Button, um Ihre Zustimmung zu geben. Anschlie&szlig;end werden wir ein paar Fragen zu Ihren Sprachkenntnissen stellen. Danach k&ouml;nnen Sie das Experiment starten. </p></div>"
"survey-html-form","4","74150","0.0-4.0","y24l","","","","","","18304","{""zustimmung"":""on""}",""
"survey-html-form","5","179530","0.0-5.0","y24l","","","","","","105376","{""native"":""Englisch"",""AOL"":""15"",""LearnType2"":""selflearn"",""which"":"""",""AOA"":""N/A"",""timespent"":""0""}",""
"audio-button-response","6","200209","0.0-6.0-0.0","y24l","","","","","","20594","0","audio_projekt/treffen1.wav"
"audio-button-response","7","203932","0.0-6.1-0.1","y24l","","","","","","3723","1","audio_projekt/treffen1.wav"
"html-keyboard-response","8","241106","0.0-7.0","y24l","","","","","","37172","q","<h2>Teil 1: Unterscheidungsaufgabe</h2><div class=""myDiv""><p>In diesem Teil des Experimentes werden Sie im Abstand von 1.5 Sekunden <b>zwei W&ouml;rter</b> h&ouml;ren.</p><ul><li>Ihre Aufgabe ist es, festzustellen, ob diese W&ouml;rter <b>gleich oder unterschiedlich</b> sind. Wenn es einen Unterschied gibt, besteht dieser nur aus einem Vokal. </li> <li>Dr&uuml;cken Sie die <b>Taste Q</b>, wenn die W&ouml;rter gleich sind. Dr&uuml;cken Sie die <b>Taste P</b>, wenn die W&ouml;rter unterschiedlich sind.</li><li>Bitte warten Sie, bis Sie <b>beide Wörter gehört haben</b>, bevor Sie eine Taste drücken. Aber Achtung: Sie haben nur <b>5 Sekunden</b>, um eine Option auszuw&auml;hlen! &Uuml;berlegen Sie daher bitte nicht zu lange.</li></ul><br><p>Dr&uuml;cken Sie eine beliebige Taste, um ein paar Testversuche zu machen.</p></ul></div>"
"audio-keyboard-response","9","244896","0.0-8.0-0.0","y24l","","","","","","null","null","audio_projekt/treffen1500triefen.wav"
"html-keyboard-response","10","249898","0.0-8.0-1.0","y24l","","","","","","null","null","<div></div>"
"audio-keyboard-response","11","253957","0.0-8.0-0.1","y24l","","","","","","null","null","audio_projekt/treffen1500treffen.wav"
"html-keyboard-response","12","254479","0.0-8.0-1.1","y24l","","","","","","522","q","<div></div>"
"html-keyboard-response","13","304871","0.0-9.0","y24l","","","","","","49588","q","<p>Gut! Jetzt f&auml;ngt der erste Teil des Experiments an. Dieser Teil dauert ca. 10 Minuten.</p><br><p>Bitte dr&uuml;cken Sie eine beliebige Taste, um fortzufahren.<div style=""height:30px; width:100%""></div>"
"audio-keyboard-response","14","308159","0.0-10.0-0.0","y24l","","","","","","null","null","audio_projekt/lieder1500lieder.wav"
"html-keyboard-response","15","308380","0.0-10.0-1.0","y24l","","","","","","220","q","<div></div>"
"audio-keyboard-response","16","312079","0.0-10.0-0.1","y24l","","","","","","null","null","audio_projekt/buehne1500buehne.wav"
"html-keyboard-response","17","312350","0.0-10.0-1.1","y24l","","","","","","271","q","<div></div>"
"audio-keyboard-response","18","316679","0.0-10.0-0.2","y24l","","","","","","null","null","audio_projekt/spuelen1500spielen.wav"
"html-keyboard-response","19","316980","0.0-10.0-1.2","y24l","","","","","","301","p","<div></div>"
"audio-keyboard-response","20","320839","0.0-10.0-0.3","y24l","","","","","","null","null","audio_projekt/lieder1500leder.wav"
"html-keyboard-response","21","321296","0.0-10.0-1.3","y24l","","","","","","455","p","<div></div>"
"audio-keyboard-response","22","325599","0.0-10.0-0.4","y24l","","","","","","null","null","audio_projekt/spuelen1500spuelen.wav"
"html-keyboard-response","23","325850","0.0-10.0-1.4","y24l","","","","","","250","q","<div></div>"
"audio-keyboard-response","24","329959","0.0-10.0-0.5","y24l","","","","","","null","null","audio_projekt/stuhl1500stiel.wav"
"html-keyboard-response","25","330115","0.0-10.0-1.5","y24l","","","","","","154","p","<div></div>"
"audio-keyboard-response","26","334479","0.0-10.0-0.6","y24l","","","","","","null","null","audio_projekt/spielen1500spulen.wav"
"html-keyboard-response","27","334543","0.0-10.0-1.6","y24l","","","","","","63","p","<div></div>"
"audio-keyboard-response","28","338279","0.0-10.0-0.7","y24l","","","","","","null","null","audio_projekt/blueten1500bluten.wav"
"html-keyboard-response","29","339028","0.0-10.0-1.7","y24l","","","","","","748","q","<div></div>"
