"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus"
"pavlovia",0,685,"0.0-0.0","0p5y","","","","","","","",""
"preload",1,686,"0.0-1.0","0p5y","true","false","[]","[]","[]","","",""
"survey-html-form",2,50718,"0.0-2.0","0p5y","","","","","","50031","{""code"":""66418354f482e5bab79375e2""}",""
"html-button-response",3,71699,"0.0-3.0","0p5y","","","","","","20980","0","<h2>Willkommen zum Experiment!</h2><div class=""myDiv""><p>Vielen Dank f&uuml;r Ihr Interesse an dieser Studie. Wir bitten Sie <strong>Kopfh&ouml;rer</strong> daf&uuml;r zu verwenden.</p></div><div><img src=""pics/headphones.png"" title=""Earbuds are also fine"" width=""250"" height=""200"" class=""center""></div><div class=""myDiv""><p>Das Experiment besteht aus zwei Teilen:</p> <ol> <li>Eine <strong>Unterscheidungsaufgabe,</strong> in der Sie zwei W&ouml;rter h&ouml;ren. Im Anschluss sollen Sie feststellen, ob diese W&ouml;rter gleich oder unterschiedlich sind;</li><li>Eine <strong>Identifikationsaufgabe,</strong> in der Sie nur ein Wort h&ouml;ren, wobei Ihnen aber zwei Bilder gezeigt werden. Ihre Aufgabe ist es, dasjenige Bild auszuw&auml;hlen, das das geh&ouml;rte Wort darstellt.</li> </ol><p>Wir bitten Sie um Ihre Zustimmung, bevor wir Ihre Daten sammeln und verwenden. Bitte klicken Sie auf den ""Start""-Button, um Ihre Zustimmung zu geben. Anschlie&szlig;end werden wir ein paar Fragen zu Ihren Sprachkenntnissen stellen. Danach k&ouml;nnen Sie das Experiment starten. </p></div>"
"survey-html-form",4,86371,"0.0-4.0","0p5y","","","","","","14671","{""zustimmung"":""on""}",""
"survey-html-form",5,179102,"0.0-5.0","0p5y","","","","","","92729","{""native"":""Englisch"",""AOL"":""12"",""LearnType1"":""classeshome"",""LearnType2"":""selflearn"",""LearnType4"":""uni"",""LearnType5"":""classesabroad"",""LearnType6"":""immersion"",""which"":""4"",""AOA"":""18"",""timespent"":""1 Jahr""}",""
"audio-button-response",6,183363,"0.0-6.0-0.0","0p5y","","","","","","4030","0","audio_projekt/treffen1.wav"
"audio-button-response",7,185256,"0.0-6.1-0.1","0p5y","","","","","","1892","1","audio_projekt/treffen1.wav"
"html-keyboard-response",8,206008,"0.0-7.0","0p5y","","","","","","20751"," ","<h2>Teil 1: Unterscheidungsaufgabe</h2><div class=""myDiv""><p>In diesem Teil des Experimentes werden Sie im Abstand von 1.5 Sekunden <b>zwei W&ouml;rter</b> h&ouml;ren.</p><ul><li>Ihre Aufgabe ist es, festzustellen, ob diese W&ouml;rter <b>gleich oder unterschiedlich</b> sind. Wenn es einen Unterschied gibt, besteht dieser nur aus einem Vokal. </li> <li>Dr&uuml;cken Sie die <b>Taste Q</b>, wenn die W&ouml;rter gleich sind. Dr&uuml;cken Sie die <b>Taste P</b>, wenn die W&ouml;rter unterschiedlich sind.</li><li>Bitte warten Sie, bis Sie <b>beide Wörter gehört haben</b>, bevor Sie eine Taste drücken. Aber Achtung: Sie haben nur <b>5 Sekunden</b>, um eine Option auszuw&auml;hlen! &Uuml;berlegen Sie daher bitte nicht zu lange.</li></ul><br><p>Dr&uuml;cken Sie eine beliebige Taste, um ein paar Testversuche zu machen.</p></ul></div>"
"audio-keyboard-response",9,209347,"0.0-8.0-0.0","0p5y","","","","","","null","null","audio_projekt/treffen1500triefen.wav"
"html-keyboard-response",10,210182,"0.0-8.0-1.0","0p5y","","","","","","835","p","<div></div>"
"audio-keyboard-response",11,214007,"0.0-8.0-0.1","0p5y","","","","","","null","null","audio_projekt/treffen1500treffen.wav"
"html-keyboard-response",12,214795,"0.0-8.0-1.1","0p5y","","","","","","788","q","<div></div>"
"html-keyboard-response",13,218277,"0.0-9.0","0p5y","","","","","","2680","p","<p>Gut! Jetzt f&auml;ngt der erste Teil des Experiments an. Dieser Teil dauert ca. 10 Minuten.</p><br><p>Bitte dr&uuml;cken Sie eine beliebige Taste, um fortzufahren.<div style=""height:30px; width:100%""></div>"
"audio-keyboard-response",14,221147,"0.0-10.0-0.0","0p5y","","","","","","null","null","audio_projekt/lieder1500leder.wav"
"html-keyboard-response",15,222350,"0.0-10.0-1.0","0p5y","","","","","","1202","p","<div></div>"
"audio-keyboard-response",16,226287,"0.0-10.0-0.1","0p5y","","","","","","null","null","audio_projekt/stuhl1500stuhl.wav"
"html-keyboard-response",17,226969,"0.0-10.0-1.1","0p5y","","","","","","681","q","<div></div>"
"audio-keyboard-response",18,230887,"0.0-10.0-0.2","0p5y","","","","","","null","null","audio_projekt/stuhl1500stiel.wav"
"html-keyboard-response",19,231307,"0.0-10.0-1.2","0p5y","","","","","","420","p","<div></div>"
"audio-keyboard-response",20,235447,"0.0-10.0-0.3","0p5y","","","","","","null","null","audio_projekt/spielen1500spuelen.wav"
