"subject","trial_type","trial_index","time_elapsed","internal_node_id","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus","native","AOL","LearnType1","LearnType2","LearnType3","LearnType4","LearnType5","LearnType6","which","AOA","timespent","word1","word2","sameordiffstims","vowel_word1","vowel_word2","vowelcontrast","tributesto","tributesto2","trialType","cont"
"0p5y","html-keyboard-response",15,222350,"0.0-10.0-1.0",NA,NA,NA,NA,NA,1202,"p","lieder1500leder","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","lieder","leder",1,"i_long","e_long","e_long/i_long","i/e","0","different","e/i"
"0p5y","html-keyboard-response",17,226969,"0.0-10.0-1.1",NA,NA,NA,NA,NA,681,"q","stuhl1500stuhl","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","stuhl","stuhl",0,"u","u","u/u","u/i","0","same","u/u"
"0p5y","html-keyboard-response",19,231307,"0.0-10.0-1.2",NA,NA,NA,NA,NA,420,"p","stuhl1500stiel","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","stuhl","stiel",1,"u","i_long","u/i_long","u/i","0","different","u/i"
"0p5y","html-keyboard-response",21,235805,"0.0-10.0-1.3",NA,NA,NA,NA,NA,357,"p","spielen1500spuelen","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spielen","spuelen",1,"i_long","y","y/i_long","y/i","0","different","i/y"
"0p5y","html-keyboard-response",23,239747,"0.0-10.0-1.4",NA,NA,NA,NA,NA,279,"p","leder1500lieder","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","leder","lieder",1,"e_long","i_long","e_long/i_long","i/e","0","different","e/i"
"0p5y","html-keyboard-response",25,244227,"0.0-10.0-1.5",NA,NA,NA,NA,NA,540,"p","stiel1500stuhl","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","stiel","stuhl",1,"i_long","u","u/i_long","u/i","0","different","u/i"
"0p5y","html-keyboard-response",27,248257,"0.0-10.0-1.6",NA,NA,NA,NA,NA,689,"q","tuer1500tuer","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","tuer","tuer",0,"y","y","y/y","y/i","u/i","same","y/y"
"0p5y","html-keyboard-response",29,252671,"0.0-10.0-1.7",NA,NA,NA,NA,NA,364,"p","siegel1500segel","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","siegel","segel",1,"i_long","e_long","e_long/i_long","i/e","0","different","e/i"
"0p5y","html-keyboard-response",31,256928,"0.0-10.0-1.8",NA,NA,NA,NA,NA,720,"q","bluten1500blueten","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","bluten","blueten",1,"u","y","u/y","u/y","0","different","u/y"
"0p5y","html-keyboard-response",33,261228,"0.0-10.0-1.9",NA,NA,NA,NA,NA,281,"p","segel1500siegel","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","segel","siegel",1,"e_long","i_long","e_long/i_long","i/e","0","different","e/i"
"0p5y","html-keyboard-response",35,265422,"0.0-10.0-1.10",NA,NA,NA,NA,NA,835,"q","tier1500tier","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","tier","tier",0,"i_long","i_long","i_long/i_long","y/i","u/i","same","i/i"
"0p5y","html-keyboard-response",37,269617,"0.0-10.0-1.11",NA,NA,NA,NA,NA,311,"p","siegel1500segel","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","siegel","segel",1,"i_long","e_long","e_long/i_long","i/e","0","different","e/i"
"0p5y","html-keyboard-response",39,273676,"0.0-10.0-1.12",NA,NA,NA,NA,NA,409,"q","lieder1500lieder","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","lieder","lieder",0,"i_long","i_long","i_long/i_long","i/e","0","same","i/i"
"0p5y","html-keyboard-response",41,277806,"0.0-10.0-1.13",NA,NA,NA,NA,NA,579,"q","blueten1500blueten","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","blueten","blueten",0,"y","y","y/y","u/y","0","same","y/y"
