"","subject","trial_type","trial_index","time_elapsed","internal_node_id","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus","native","AOL","LearnType1","LearnType2","LearnType3","LearnType4","LearnType5","LearnType6","which","AOA","timespent","audiostim","audionodeid","audiogiven","pic_choices","leftpic","rightpic","correct","vowelcontrast"
"228","0p5y","image-keyboard-response",227,705366,"0.0-17.0-1.0",NA,NA,NA,NA,NA,"1181","p","pics/scaled/tier_tour.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","tour.wav","0.0-17.0-0.0","tour","tier_tour","tier","tour",1,"i/u"
"230","0p5y","image-keyboard-response",229,707720,"0.0-17.0-1.1",NA,NA,NA,NA,NA,"785","p","pics/scaled/stiel2_stuhl.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","stuhl.wav","0.0-17.0-0.1","stuhl","stiel_stuhl","stiel","stuhl",1,"i/u"
"232","0p5y","image-keyboard-response",231,710002,"0.0-17.0-1.2",NA,NA,NA,NA,NA,"597","p","pics/scaled/spulen_spuelen.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spuelen2.wav","0.0-17.0-0.2","spuelen","spulen_spuelen","spulen","spuelen",1,"y/u"
"234","0p5y","image-keyboard-response",233,712110,"0.0-17.0-1.3",NA,NA,NA,NA,NA,"725","p","pics/scaled/biene_buehne.png","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","buehne.wav","0.0-17.0-0.3","buehne","biene_buehne","biene","buehne",1,"y/i"
"236","0p5y","image-keyboard-response",235,714198,"0.0-17.0-1.4",NA,NA,NA,NA,NA,"653","p","pics/scaled/lieder_leder.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","lieder.wav","0.0-17.0-0.4","lieder","lieder_leder","leder","lieder",1,"i/e"
"238","0p5y","image-keyboard-response",237,717874,"0.0-17.0-1.5",NA,NA,NA,NA,NA,"2089","q","pics/scaled/stiel2_stuhl.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","stiel.wav","0.0-17.0-0.5","stiel","stiel_stuhl","stiel","stuhl",1,"i/u"
"240","0p5y","image-keyboard-response",239,720327,"0.0-17.0-1.6",NA,NA,NA,NA,NA,"862","p","pics/scaled/stiel2_stuhl.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","stuhl.wav","0.0-17.0-0.6","stuhl","stiel_stuhl","stiel","stuhl",1,"i/u"
"242","0p5y","image-keyboard-response",241,722909,"0.0-17.0-1.7",NA,NA,NA,NA,NA,"1145","p","pics/scaled/kiel_kuehl.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","kuehl.wav","0.0-17.0-0.7","kuehl","kiel_kuehl","kiel","kuehl",1,"y/i"
"244","0p5y","image-keyboard-response",243,724854,"0.0-17.0-1.8",NA,NA,NA,NA,NA,"489","q","pics/scaled/lieder_leder.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","leder.wav","0.0-17.0-0.8","leder","lieder_leder","leder","lieder",1,"i/e"
"246","0p5y","image-keyboard-response",245,726835,"0.0-17.0-1.9",NA,NA,NA,NA,NA,"550","p","pics/scaled/lieder_leder.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","lieder.wav","0.0-17.0-0.9","lieder","lieder_leder","leder","lieder",1,"i/e"
"248","0p5y","image-keyboard-response",247,729137,"0.0-17.0-1.10",NA,NA,NA,NA,NA,"993","p","pics/scaled/tier_tour.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","tour.wav","0.0-17.0-0.10","tour","tier_tour","tier","tour",1,"i/u"
"250","0p5y","image-keyboard-response",249,732632,"0.0-17.0-1.11",NA,NA,NA,NA,NA,"2187","p","pics/scaled/tuer_tour.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","tuer.wav","0.0-17.0-0.11","tuer","tuer_tour","tour","tuer",1,"y/u"
"252","0p5y","image-keyboard-response",251,735273,"0.0-17.0-1.12",NA,NA,NA,NA,NA,"949","p","pics/scaled/spulen_spuelen.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spuelen2.wav","0.0-17.0-0.12","spuelen","spulen_spuelen","spulen","spuelen",1,"y/u"
"254","0p5y","image-keyboard-response",253,737433,"0.0-17.0-1.13",NA,NA,NA,NA,NA,"389","q","pics/scaled/spielen_spuelen.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spielen.wav","0.0-17.0-0.13","spielen","spielen_spuelen","spielen","spuelen",1,"y/i"
"256","0p5y","image-keyboard-response",255,740229,"0.0-17.0-1.14",NA,NA,NA,NA,NA,"1095","q","pics/scaled/spielen_spulen.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spulen.wav","0.0-17.0-0.14","spulen","spielen_spulen","spulen","spielen",1,"i/u"
"258","0p5y","image-keyboard-response",257,742614,"0.0-17.0-1.15",NA,NA,NA,NA,NA,"680","p","pics/scaled/spielen_spulen.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spielen2.wav","0.0-17.0-0.15","spielen","spielen_spulen","spulen","spielen",1,"i/u"
"260","0p5y","image-keyboard-response",259,745629,"0.0-17.0-1.16",NA,NA,NA,NA,NA,"1434","p","pics/scaled/stiel2_stuhl.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","stuhl.wav","0.0-17.0-0.16","stuhl","stiel_stuhl","stiel","stuhl",1,"i/u"
"262","0p5y","image-keyboard-response",261,747761,"0.0-17.0-1.17",NA,NA,NA,NA,NA,"466","q","pics/scaled/spielen_spuelen.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spielen.wav","0.0-17.0-0.17","spielen","spielen_spuelen","spielen","spuelen",1,"y/i"
"264","0p5y","image-keyboard-response",263,749962,"0.0-17.0-1.18",NA,NA,NA,NA,NA,"617","q","pics/scaled/stiel2_stuhl.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","stiel.wav","0.0-17.0-0.18","stiel","stiel_stuhl","stiel","stuhl",1,"i/u"
"266","0p5y","image-keyboard-response",265,752610,"0.0-17.0-1.19",NA,NA,NA,NA,NA,"1226","p","pics/scaled/kiel_kuehl.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","kuehl.wav","0.0-17.0-0.19","kuehl","kiel_kuehl","kiel","kuehl",1,"y/i"
"268","0p5y","image-keyboard-response",267,755924,"0.0-17.0-1.20",NA,NA,NA,NA,NA,"1950","p","pics/scaled/bluten_blueten.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","blueten.wav","0.0-17.0-0.20","blueten","bluten_blueten","blueten","bluten",0,"y/u"
"270","0p5y","image-keyboard-response",269,758687,"0.0-17.0-1.21",NA,NA,NA,NA,NA,"1093","p","pics/scaled/spulen_spuelen.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spulen.wav","0.0-17.0-0.21","spulen","spulen_spuelen","spulen","spuelen",0,"y/u"
"272","0p5y","image-keyboard-response",271,761411,"0.0-17.0-1.22",NA,NA,NA,NA,NA,"1177","q","pics/scaled/stiel2_stuhl.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","stiel.wav","0.0-17.0-0.22","stiel","stiel_stuhl","stiel","stuhl",1,"i/u"
"274","0p5y","image-keyboard-response",273,763455,"0.0-17.0-1.23",NA,NA,NA,NA,NA,"700","p","pics/scaled/biene_buehne.png","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","buehne.wav","0.0-17.0-0.23","buehne","biene_buehne","biene","buehne",1,"y/i"
"276","0p5y","image-keyboard-response",275,766217,"0.0-17.0-1.24",NA,NA,NA,NA,NA,"1462","q","pics/scaled/tier_tour.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","tier.wav","0.0-17.0-0.24","tier","tier_tour","tier","tour",1,"i/u"
"278","0p5y","image-keyboard-response",277,770129,"0.0-17.0-1.25",NA,NA,NA,NA,NA,"2535","p","pics/scaled/bluten_blueten.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","bluten.wav","0.0-17.0-0.25","bluten","bluten_blueten","blueten","bluten",1,"y/u"
"280","0p5y","image-keyboard-response",279,772685,"0.0-17.0-1.26",NA,NA,NA,NA,NA,"890","p","pics/scaled/spulen_spuelen.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spuelen2.wav","0.0-17.0-0.26","spuelen","spulen_spuelen","spulen","spuelen",1,"y/u"
"282","0p5y","image-keyboard-response",281,776163,"0.0-17.0-1.27",NA,NA,NA,NA,NA,"1810","q","pics/scaled/spulen_spuelen.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spulen.wav","0.0-17.0-0.27","spulen","spulen_spuelen","spulen","spuelen",1,"y/u"
"284","0p5y","image-keyboard-response",283,778419,"0.0-17.0-1.28",NA,NA,NA,NA,NA,"595","p","pics/scaled/spielen_spuelen.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spuelen2.wav","0.0-17.0-0.28","spuelen","spielen_spuelen","spielen","spuelen",1,"y/i"
"286","0p5y","image-keyboard-response",285,782730,"0.0-17.0-1.29",NA,NA,NA,NA,NA,"2706","q","pics/scaled/siegel_segel.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","siegel.wav","0.0-17.0-0.29","siegel","siegel_segel","segel","siegel",0,"i/e"
"288","0p5y","image-keyboard-response",287,785691,"0.0-17.0-1.30",NA,NA,NA,NA,NA,"1547","q","pics/scaled/kiel_kuehl.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","kiel.wav","0.0-17.0-0.30","kiel","kiel_kuehl","kiel","kuehl",1,"y/i"
"290","0p5y","image-keyboard-response",289,789036,"0.0-17.0-1.31",NA,NA,NA,NA,NA,"2072","p","pics/scaled/tuer_tour.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","tour.wav","0.0-17.0-0.31","tour","tuer_tour","tour","tuer",0,"y/u"
"292","0p5y","image-keyboard-response",291,792145,"0.0-17.0-1.32",NA,NA,NA,NA,NA,"1740","p","pics/scaled/bluten_blueten.jpg","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","bluten.wav","0.0-17.0-0.32","bluten","bluten_blueten","blueten","bluten",1,"y/u"
